id,frame,x [nm],y [nm],z [nm],uncertainty [nm],centroid [nm],cluster_label
1.0,1.0,15226.826520039041,26801.29101213828,396.9976220693593,18.249,697.86,0.0
2.0,1.0,15273.110971069891,26700.902490037784,205.22977111122572,9.7172,697.86,0.0
3.0,1.0,15145.107232760745,26556.86829231199,614.0365176317409,8.7333,697.86,0.0
4.0,1.0,15357.329346871787,26714.742655990256,524.0478865907737,29.532,697.86,0.0
5.0,1.0,15217.485002717227,26788.286435478654,528.4573036244342,18.912,697.86,0.0
6.0,1.0,15304.80311188207,26670.21359261053,623.3589943682496,11.094,697.86,0.0
7.0,1.0,14983.954554484437,26552.880247649307,471.996082218154,36.171,697.86,0.0
8.0,1.0,15293.458385592347,26566.68578601201,457.765690384906,13.773,697.86,0.0
9.0,1.0,15082.130430025252,26522.875478344475,584.4234491607667,16.811,697.86,0.0
10.0,1.0,15241.99792124527,26422.946085957767,581.4710074603224,10.761,697.86,0.0
11.0,1.0,15283.780576498615,26521.46211454209,343.13145746104783,14.592,697.86,0.0
12.0,1.0,15208.6996309329,26445.190725825152,798.8827692658472,15.861,697.86,0.0
13.0,1.0,15173.577364485565,26593.989561263617,942.0465430691471,16.937,697.86,0.0
14.0,1.0,15053.391697811749,26504.502786230387,262.6187199688011,27.434,697.86,0.0
15.0,1.0,15022.646853193482,26683.196541725058,370.4956867766202,21.497,697.86,0.0
16.0,1.0,15181.034147786291,26495.752453572288,233.8636232192905,12.255,697.86,0.0
17.0,1.0,14994.459418634411,26729.36070948476,844.3002054789645,12.329,697.86,0.0
18.0,1.0,14983.292500298165,26609.193249803295,472.3639736354146,36.171,697.86,0.0
19.0,1.0,15212.744886281595,26659.164592561603,533.2117589445935,8.2415,697.86,0.0
20.0,1.0,15124.29275312121,26680.983578212228,177.61492077852563,19.646,697.86,0.0
21.0,1.0,15045.420341131705,26569.005549315007,317.58825239729185,24.061,697.86,0.0
