id,frame,x [nm],y [nm],z [nm],uncertainty [nm],centroid [nm],cluster_label
1.0,1.0,13166.95127844507,24024.198593881832,459.0,12.958,672.32,-1.0
2.0,1.0,9199.868240681077,22224.200294257585,365.05660381721026,17.36,672.32,2551.0
3.0,1.0,16770.38735347209,21851.567245935104,394.0,11.392,672.32,-1.0
4.0,1.0,21756.309991093105,18325.745560938056,502.19987279553135,12.131,672.32,24.0
5.0,1.0,9746.096699350375,25559.10524332483,138.17740057299193,20.593,672.32,173.0
6.0,1.0,7113.038777634774,21986.58904794295,717.0,26.748,672.32,-1.0
7.0,1.0,11016.405218573875,23939.64649345626,631.0,14.035,672.32,-1.0
8.0,1.0,18419.99961711254,26986.30733098935,519.0,49.443,672.32,-1.0
9.0,1.0,21877.52064084039,20044.447367186385,823.4324253387778,12.102,672.32,864.0
10.0,1.0,18243.195600073886,16116.122828715537,415.7731713118487,10.789,672.32,2105.0
11.0,1.0,13585.067010469027,27978.324443445494,649.5657261624822,13.366,672.32,1896.0
12.0,1.0,23480.032872588657,21451.433416106585,653.4122381219745,21.033,672.32,1917.0
13.0,1.0,20555.41088254443,23312.782237756524,280.7824586812783,21.78,672.32,1231.0
14.0,1.0,18997.631210814554,16577.857659463705,928.7924100988675,26.969,672.32,2550.0
15.0,1.0,12287.861878278345,20464.07523420598,27.59694364925491,16.658,672.32,1427.0
16.0,1.0,15387.982544435914,24237.243261227755,896.0,11.011,672.32,-1.0
17.0,1.0,5345.678438304908,16136.700842108574,193.6927524422938,13.779,672.32,332.0
18.0,1.0,16893.370343018065,24523.98075860164,645.3223928480174,6.2952,672.32,1652.0
19.0,1.0,19993.334050078254,25344.528616787124,725.0,17.401,672.32,-1.0
20.0,1.0,15982.05876316488,26516.40576256161,612.9830179660347,6.8336,672.32,955.0
21.0,1.0,11669.98604458901,16856.965373897376,587.615062597499,11.794,672.32,1442.0
22.0,1.0,18714.01319470746,25074.475608866254,1159.1590533599917,12.641,672.32,2578.0
23.0,1.0,21399.267485658784,21409.71322501512,549.4587619271941,18.42,672.32,909.0
24.0,1.0,16808.3222292862,28465.611212432075,223.2700801986222,5.3776,672.32,1859.0
25.0,1.0,3713.1955531012195,17814.617673044697,791.0,9.8178,672.32,-1.0
26.0,1.0,13401.903838535934,16678.81086459794,-140.1875980549239,11.426,672.32,1237.0
27.0,1.0,21480.046766656433,24835.607040940788,354.49939081944365,8.6545,672.32,1191.0
28.0,1.0,4306.867016355331,22223.525382178595,629.0,14.187,672.32,-1.0
29.0,1.0,11779.920810875257,25144.489970411872,481.0,11.769,672.32,-1.0
30.0,1.0,11272.234781254281,20762.212658954973,462.0,22.326,672.32,-1.0
31.0,1.0,5552.281311515588,22710.961089260112,428.78336830808564,16.148,672.32,2424.0
32.0,1.0,22311.319156294383,20298.356899029972,516.5305974868916,13.298,672.32,478.0
33.0,1.0,18374.37643259017,17902.5132973312,842.7020538788728,18.223,672.32,1135.0
34.0,1.0,19940.249420435266,16388.390149623825,414.0,15.265,672.32,-1.0
35.0,1.0,18796.99158444967,23364.475856402874,354.0,14.342,672.32,-1.0
36.0,1.0,4845.341795930227,15513.002550254856,411.52829503403336,7.6495,672.32,364.0
37.0,1.0,10957.466399598232,18034.71990181721,693.0281541623584,15.434,672.32,549.0
38.0,1.0,5348.244020619835,18161.426365796255,121.27695701716345,15.569,672.32,1640.0
39.0,1.0,3299.021797135222,20769.66677327545,419.2846490746898,27.36,672.32,2207.0
40.0,1.0,17113.501191763833,27336.57733020062,423.68013664985017,8.7793,672.32,2268.0
41.0,1.0,19111.05540164895,21818.229896633744,627.2200514845115,10.537,672.32,711.0
42.0,1.0,17381.021135170035,15309.287742018958,150.0,8.3388,672.32,-1.0
43.0,1.0,22175.666623097277,21890.26983285414,500.9036261439496,14.674,672.32,1510.0
44.0,1.0,18286.252124729403,21914.91587690587,566.8947943863619,12.047,672.32,2362.0
45.0,1.0,17191.409082693495,25991.03304958678,809.8890139050815,11.415,672.32,1026.0
46.0,1.0,9885.832139450727,18681.193913591487,551.0,20.732,672.32,-1.0
47.0,1.0,12626.732927596997,27896.37519808747,732.7136151784218,8.9509,672.32,1407.0
48.0,1.0,17868.16207444155,16345.555187817266,809.0,8.6184,672.32,-1.0
49.0,1.0,16796.25968343324,20863.14746229731,542.0,11.08,672.32,-1.0
50.0,1.0,11293.10943083414,21103.22395619573,571.5464526248886,9.1916,672.32,907.0
51.0,1.0,13952.402279010601,25617.602137218655,791.3295878537111,14.881,672.32,1317.0
52.0,1.0,5311.380816807242,22258.336076106483,555.0,12.1,672.32,-1.0
53.0,1.0,21083.361283866092,17364.916818485577,603.7760666200255,9.5191,672.32,1582.0
54.0,1.0,19967.094850536225,23129.108884329107,181.0,23.907,672.32,-1.0
55.0,1.0,13409.012191153248,25932.449210531533,674.4095382094075,20.15,672.32,930.0
56.0,1.0,7594.634116428492,16973.638279493818,484.0261383636149,24.157,672.32,437.0
57.0,1.0,3774.645683560425,17405.379412484348,1077.4255198359447,12.456,672.32,1469.0
58.0,1.0,20465.80236280538,26754.164762090633,214.47843779156233,19.139,672.32,568.0
59.0,1.0,19278.42591806566,25123.877522010953,893.7385572936686,15.37,672.32,2300.0
60.0,1.0,12834.514460293725,25332.907794008654,-99.69037055909143,11.426,672.32,1400.0
61.0,1.0,16585.63557709607,20401.185729987417,345.67855199426003,18.568,672.32,1898.0
62.0,1.0,13397.63452294122,20913.494807045005,995.0,9.9928,672.32,-1.0
63.0,1.0,20265.432025150898,23370.61088382547,112.47914520130665,13.359,672.32,1937.0
64.0,1.0,19234.056595270726,22746.12188592957,787.8416018463947,23.785,672.32,1367.0
65.0,1.0,18828.96793493676,18918.84450430565,567.2030238888988,25.147,672.32,317.0
66.0,1.0,16391.613539168437,16656.38988175574,560.0,10.496,672.32,-1.0
67.0,1.0,22483.204891225996,23647.9798824194,643.8774439172048,7.7796,672.32,617.0
68.0,1.0,18314.771701999416,17305.894359495993,771.7244328742602,15.659,672.32,57.0
69.0,1.0,15503.611822055085,23006.5636661065,569.9035516638567,13.764,672.32,238.0
70.0,1.0,14627.972173882275,23562.43268771719,41.0,9.2087,672.32,-1.0
71.0,1.0,11788.671259180768,25458.243371365497,761.2775006065897,26.099,672.32,1175.0
72.0,1.0,16072.123312523308,15619.17462410298,543.0,20.482,672.32,-1.0
73.0,1.0,19262.83718195427,22264.067888432342,653.0,12.01,672.32,-1.0
74.0,1.0,7192.221405461844,23786.345136825465,619.7605868821481,17.693,672.32,2076.0
75.0,1.0,11331.201877927842,17379.938846305904,419.0,21.414,672.32,-1.0
76.0,1.0,13745.078388664388,24713.49340456697,129.26719187542272,17.25,672.32,562.0
77.0,1.0,11396.593661479976,25040.221273889245,154.2796791226575,11.095,672.32,1180.0
78.0,1.0,18624.89984939018,23984.208598844103,1143.3813459548255,8.7043,672.32,880.0
79.0,1.0,16136.296481633408,16513.748743770528,260.1259098808275,8.7808,672.32,821.0
80.0,1.0,12939.412239252242,21309.764407995528,794.0,15.896,672.32,-1.0
81.0,1.0,9934.146707660571,13692.268899526029,351.5314027142433,17.104,672.32,394.0
82.0,1.0,12105.037740616224,20235.117834707373,472.72375561573494,13.094,672.32,722.0
83.0,1.0,5271.15638442698,22771.19814255982,593.9100497519806,16.395,672.32,1059.0
84.0,1.0,6969.1678844373255,22210.643222674582,934.0140100121321,15.896,672.32,423.0
85.0,1.0,17652.31305763754,20284.55194978704,422.0,17.5,672.32,-1.0
86.0,1.0,18000.089269309923,15508.917697450164,153.40323272574756,15.197,672.32,843.0
87.0,1.0,22940.52527315778,22759.275724322586,496.0,9.4292,672.32,-1.0
88.0,1.0,13116.372375202365,17266.87583634464,585.1125467998327,16.285,672.32,2327.0
89.0,1.0,21137.87691043624,17968.05264990731,505.39069388466623,17.334,672.32,2418.0
90.0,1.0,15136.106175068417,16289.823569877286,302.0,13.546,672.32,-1.0
91.0,1.0,18174.302361854418,21756.986222622236,-59.53300827226434,13.606,672.32,2067.0
92.0,1.0,12869.694406402252,21016.65658293866,239.0,15.618,672.32,-1.0
93.0,1.0,5002.147685678778,15304.99571237384,801.5865350922029,15.273,672.32,362.0
94.0,1.0,14140.065483654924,26998.216128976594,657.0,13.919,672.32,-1.0
95.0,1.0,16185.653327797882,16327.280796634981,383.0,15.445,672.32,-1.0
96.0,1.0,13600.087177774185,22218.388868658338,969.4901495950389,30.532,672.32,513.0
97.0,1.0,9112.107942270184,19722.698537447137,623.9428588170471,13.946,672.32,956.0
98.0,1.0,6331.493338916394,17844.286820591853,196.0,25.329,672.32,-1.0
99.0,1.0,21845.388778883033,24186.333283392905,276.7125420467011,8.4512,672.32,828.0
100.0,1.0,8784.075198778712,15504.237784334066,291.1359314038001,16.146,672.32,1306.0
101.0,1.0,18640.157157124537,20054.919382472173,160.72390104118847,7.3155,672.32,765.0
102.0,1.0,20256.155736148707,23190.609752752927,420.5461471058327,15.873,672.32,1230.0
103.0,1.0,7590.666393273578,19363.20683558628,820.0,8.9282,672.32,-1.0
104.0,1.0,10560.184362049678,23437.04453656288,286.2841774654159,26.539,672.32,2339.0
105.0,1.0,15527.081586620774,15857.887436402787,617.8439417524135,41.756,672.32,1789.0
106.0,1.0,6648.396230597881,19561.329840376387,128.9661071322571,19.12,672.32,44.0
107.0,1.0,3462.0776340349503,18461.607671567937,174.8290584712999,28.559,672.32,810.0
108.0,1.0,10135.513653195954,25726.7492451242,686.0,15.334,672.32,-1.0
109.0,1.0,10413.241224636553,16274.795510472486,372.08352717665656,24.03,672.32,198.0
110.0,1.0,12380.984513905943,21032.708892080766,552.0,11.671,672.32,-1.0
111.0,1.0,8771.96358366557,14032.080280876584,481.0,24.165,672.32,-1.0
112.0,1.0,21517.907358672517,24340.515929869114,614.0,10.717,672.32,-1.0
113.0,1.0,6468.497833698323,17590.73924325794,432.0,13.571,672.32,-1.0
114.0,1.0,16077.769138901436,27777.18884425098,442.0,13.823,672.32,-1.0
115.0,1.0,19337.04889438922,25331.3130296484,847.873149945928,11.575,672.32,661.0
116.0,1.0,11657.468411103342,26000.735809616213,1043.6743218919976,8.4321,672.32,229.0
117.0,1.0,12055.77952600427,26304.218133329672,710.1852368019055,5.6609,672.32,1600.0
118.0,1.0,20044.46282499021,27084.370316124914,677.0,8.7506,672.32,-1.0
119.0,1.0,19554.211919145917,22691.753913175886,1256.0971475318115,11.515,672.32,788.0
120.0,1.0,17043.981744516288,28605.8100239907,896.0,12.698,672.32,-1.0
121.0,1.0,20335.844545757933,26954.81982635309,537.9367260631888,16.237,672.32,390.0
122.0,1.0,22789.805221784783,23193.874194278033,994.7832058399625,9.7989,672.32,621.0
123.0,1.0,8096.4082617306385,20160.698796742487,885.0,22.662,672.32,-1.0
124.0,1.0,20102.85269179213,25242.52749601748,845.2636805845837,25.082,672.32,109.0
