id,frame,x [nm],y [nm],z [nm],uncertainty [nm],centroid [nm],cluster_label
1.0,1.0,10297.2246622715,16678.64626570398,552.0,17.124,672.32,-1.0
2.0,1.0,11634.03072756439,24753.82735269382,646.347409092072,8.6347,672.32,1242.0
3.0,1.0,11732.977419425297,25224.232624385317,333.15217541983253,33.673,672.32,1935.0
4.0,1.0,10751.154050508105,15394.230980871442,707.0,14.123,672.32,-1.0
5.0,1.0,15425.65610105124,20386.907731804124,457.0,12.925,672.32,-1.0
6.0,1.0,5016.572211314943,18893.14115782772,657.0807889044868,13.966,672.32,1146.0
7.0,1.0,13663.846801224805,24826.74046346255,1008.948081959044,15.337,672.32,574.0
8.0,1.0,17785.75250247498,28477.800802948957,596.0,19.51,672.32,-1.0
9.0,1.0,19116.2138190318,20193.28184345489,765.0,13.251,672.32,-1.0
10.0,1.0,13245.267540787392,14563.777551037938,867.0,9.4964,672.32,-1.0
11.0,1.0,10601.724578395786,23885.942735128017,923.0,12.568,672.32,-1.0
12.0,1.0,6256.671761662826,17584.54495686776,655.6882525741255,5.5665,672.32,458.0
13.0,1.0,17496.87581670764,19003.34986142721,826.0,17.155,672.32,-1.0
14.0,1.0,18556.20516373133,25701.66442392855,444.29766618406853,8.3095,672.32,2377.0
15.0,1.0,12721.49458925191,27808.505199900967,541.0,11.981,672.32,-1.0
16.0,1.0,19185.243076077888,16512.669491399887,578.0,7.4417,672.32,-1.0
17.0,1.0,10835.937364921894,18140.74034968584,759.6696081044307,7.6205,672.32,919.0
18.0,1.0,20893.2751580723,23164.72450591653,662.0,11.504,672.32,-1.0
19.0,1.0,20333.585085613755,17823.409763592328,225.85912135345785,10.604,672.32,109.0
20.0,1.0,13543.784717701761,24540.072659187445,635.5424325355357,30.497,672.32,2303.0
21.0,1.0,22278.115436126478,21839.45044583032,706.5724050473515,11.482,672.32,1593.0
22.0,1.0,15498.987947764044,20631.655519455584,780.0,19.004,672.32,-1.0
23.0,1.0,13559.87221442599,27042.840621392286,764.0,26.467,672.32,-1.0
24.0,1.0,6801.7117688659555,19795.74004425283,439.2570469847779,21.12,672.32,2064.0
25.0,1.0,19222.454265622368,24626.897092447474,371.48998471603323,8.8249,672.32,2392.0
26.0,1.0,4800.119898766189,22644.901483828115,699.8615892008286,20.126,672.32,2100.0
27.0,1.0,19872.748841620258,17238.583908697285,460.78361527745807,19.095,672.32,326.0
28.0,1.0,3024.373686427213,17599.006770190856,115.0,13.053,672.32,-1.0
29.0,1.0,10764.914424354434,20994.809830492173,637.0,14.476,672.32,-1.0
