id,frame,x [nm],y [nm],z [nm],centroid [nm]
15730,1,2255.6,9749.7,-495,700
15731,1,5701.7,3939,-485,700
15732,1,4050.7,11008,-475,700
15733,1,5277.5,11099,-475,700
15734,1,7035.8,4436.6,-465,700
15735,1,3026.1,8097.2,-465,700
15736,1,6489.2,8671.3,-465,700
15737,1,5780.8,1663.7,-455,700
15738,1,4934.6,2840.2,-455,700
15739,1,4327.9,11828,-455,700
15740,1,6367,4114.5,-425,700
15741,1,3216.9,10580,-425,700
15742,1,5071.1,11707,-425,700
15743,1,3966.6,1401,-415,700
15744,1,6366.7,2488.3,-415,700
15745,1,3558.2,4725.2,-415,700
15746,1,8610.7,6103.3,-415,700
15747,1,3547.7,1778.6,-405,700
15748,1,1894.1,2859.2,-405,700
15749,1,2820.5,7143.6,-405,700
15750,1,4914.3,809.29,-385,700
15751,1,6509.3,3715.7,-375,700
15752,1,3546.4,5024.8,-375,700
15753,1,2749.3,8051.4,-375,700
15754,1,3677.2,1064.5,-365,700
15755,1,3878.3,1149.7,-365,700
15756,1,5365.2,1320.9,-365,700
15757,1,4431.8,10622,-365,700
15758,1,3205.5,1628.8,-355,700
15759,1,3019.1,10113,-355,700
15760,1,1786,9206.6,-345,700
15761,1,5415.4,11734,-345,700
15762,1,6873.7,2906,-335,700
15763,1,6222.8,3731.7,-335,700
15764,1,6689,4130.1,-325,700
15765,1,6655.7,4775.6,-325,700
15766,1,995.69,6939.3,-325,700
15767,1,3411.4,9873.3,-325,700
15768,1,8356.5,5188.8,-315,700
15769,1,4631.6,1470,-305,700
15770,1,1382.2,3708.9,-295,700
15771,1,5478,4008.5,-295,700
15772,1,2447.9,4335.8,-295,700
15773,1,4665.7,9351.5,-295,700
15774,1,2933.9,9801.8,-295,700
15775,1,5547,10786,-295,700
15776,1,3051.7,10905,-295,700
15777,1,5754.8,1145.5,-285,700
15778,1,3938.2,4393.7,-285,700
15779,1,5377.9,6658.3,-285,700
15780,1,6595.2,1562,-275,700
15781,1,7876.1,4252.9,-275,700
15782,1,1005.2,4482.4,-275,700
15783,1,4156.1,4851.2,-275,700
15784,1,7213.7,7606.8,-275,700
15785,1,900.8,7828.7,-275,700
15786,1,1299.8,8109.1,-275,700
15787,1,4571,9279.5,-275,700
15788,1,2877.8,2045,-265,700
15789,1,6626.3,2406.6,-265,700
15790,1,1331.3,7211.5,-265,700
15791,1,2044.2,8595.4,-265,700
15792,1,6278.8,11129,-265,700
15793,1,6915.5,2015.6,-255,700
15794,1,6474.7,6984.8,-255,700
15795,1,5577.1,9144.7,-255,700
15796,1,6901.1,9944.9,-255,700
15797,1,6251,10533,-255,700
15798,1,2901.1,2374.5,-245,700
15799,1,3114.8,1938,-235,700
15800,1,7350.6,2710.3,-235,700
15801,1,5720.3,9208.1,-235,700
15802,1,6845,10241,-235,700
15803,1,4897.8,903.35,-225,700
15804,1,7862.7,5848.7,-225,700
15805,1,2893.2,6973,-225,700
15806,1,1350.6,7821.2,-225,700
15807,1,3491.7,9231.6,-225,700
15808,1,6020.2,9897.2,-225,700
15809,1,3748,4498.4,-215,700
15810,1,7250,7564.4,-215,700
15811,1,7194.6,10510,-215,700
15812,1,3503.5,11429,-215,700
15813,1,3984,11541,-215,700
15814,1,3214.7,6321.5,-205,700
15815,1,1827.7,8083.2,-205,700
15816,1,2165.9,8324.5,-205,700
15817,1,5695.8,11552,-205,700
15818,1,5055.2,11590,-205,700
15819,1,4490.8,1073.7,-195,700
15820,1,2900,6463,-195,700
15821,1,6640.2,8198.3,-195,700
15822,1,4807.2,9101.2,-195,700
15823,1,6773.4,9916.7,-195,700
15824,1,6032.3,10629,-195,700
15825,1,3851.5,11634,-195,700
15826,1,4819.1,3630.7,-185,700
15827,1,6160.1,3885.4,-185,700
15828,1,1754.8,8228,-185,700
15829,1,5476.4,11771,-185,700
15830,1,5264.5,1543.5,-175,700
15831,1,3869.3,3806.9,-175,700
15832,1,1887.7,4137,-175,700
15833,1,3790.1,5209.7,-175,700
15834,1,5081.1,7040.4,-175,700
15835,1,2246.4,9917.6,-175,700
15836,1,7343.3,2334.2,-165,700
15837,1,1993.6,4009.1,-165,700
15838,1,5174.6,11438,-165,700
15839,1,5364.7,12202,-165,700
15840,1,5779.4,1075.4,-155,700
15841,1,6846,1970.5,-155,700
15842,1,7625.3,3839.2,-155,700
15843,1,8264.2,4269.9,-155,700
15844,1,1149.4,5442.2,-155,700
15845,1,8743.6,6069.7,-155,700
15846,1,6506.7,7883,-155,700
15847,1,1294.9,7976.8,-155,700
15848,1,6282,9537.2,-155,700
15849,1,7177.4,10534,-155,700
15850,1,4677.5,11603,-155,700
15851,1,4024.7,1344.1,-145,700
15852,1,969.46,5251.6,-145,700
15853,1,3404.5,9907.5,-145,700
15854,1,3906.1,10904,-145,700
15855,1,3579.1,11870,-145,700
15856,1,5039.5,2899.2,-135,700
15857,1,5678.2,2913.2,-135,700
15858,1,1687.3,3798.4,-135,700
15859,1,3076.6,3868.1,-135,700
15860,1,2196.2,4987.4,-135,700
15861,1,3370.2,6418.9,-135,700
15862,1,2752.8,9116.1,-135,700
15863,1,1567.2,9795.4,-135,700
15864,1,6634.3,10683,-135,700
15865,1,4421.4,12305,-135,700
15866,1,5312,1920,-125,700
15867,1,6272.1,2145.2,-125,700
15868,1,6212.5,2237,-125,700
15869,1,2976.3,2340.8,-125,700
15870,1,5748.7,6846.5,-125,700
15871,1,5653.3,7243.9,-125,700
15872,1,3541.5,7344.8,-125,700
15873,1,3330.1,7746.3,-125,700
15874,1,2778.2,10455,-125,700
15875,1,5871.8,11237,-125,700
15876,1,4220.1,1430.2,-115,700
15877,1,1399.3,8305.8,-115,700
15878,1,6198.2,10634,-115,700
15879,1,5886.4,11595,-115,700
15880,1,5399.1,12061,-115,700
15881,1,6230.7,12159,-115,700
15882,1,5459.8,2565.7,-105,700
15883,1,7339.7,3228,-105,700
15884,1,7196.2,3477.4,-105,700
15885,1,1846.3,3763.9,-105,700
15886,1,2355.4,5044.7,-105,700
15887,1,1206.1,6626.7,-105,700
15888,1,1742.9,8886.4,-105,700
15889,1,2883.5,10404,-105,700
15890,1,3543,11917,-105,700
15891,1,4178.2,12228,-105,700
15892,1,6954.2,3009.4,-95,700
15893,1,2355.3,3829.8,-95,700
15894,1,8464.2,5980.2,-95,700
15895,1,2471,6145.9,-95,700
15896,1,7341.1,6980,-95,700
15897,1,2731.6,2179.8,-85,700
15898,1,5262.3,2212.7,-85,700
15899,1,3476.1,2403.2,-85,700
15900,1,6877.2,4451,-85,700
15901,1,1172.6,5567.1,-85,700
15902,1,1597.7,5954.8,-85,700
15903,1,4006.5,6699.5,-85,700
15904,1,6990.9,9865.6,-85,700
15905,1,6441,10381,-85,700
15906,1,2311.1,3274,-75,700
15907,1,2725.9,4137.6,-75,700
15908,1,5361.8,6430.6,-75,700
15909,1,5538.4,7181.4,-75,700
15910,1,1205.1,7702.4,-75,700
15911,1,2850.4,11622,-75,700
15912,1,5583,1425.7,-65,700
15913,1,4436.2,2093,-65,700
15914,1,6911.3,2471.3,-65,700
15915,1,6709.5,4181.4,-65,700
15916,1,7846.7,5063.2,-65,700
15917,1,1384.9,9529.3,-65,700
15918,1,4394,1950.6,-55,700
15919,1,2563.6,2866.9,-55,700
15920,1,2662.9,2986.7,-55,700
15921,1,5179.8,3151.1,-55,700
15922,1,3525.6,3796.3,-55,700
15923,1,5154.6,3904.9,-55,700
15924,1,7334.3,4443.8,-55,700
15925,1,3051.7,5279,-55,700
15926,1,7829.5,7290.2,-55,700
15927,1,1591.2,7651.8,-55,700
15928,1,3444.7,8165.1,-55,700
15929,1,3522.1,9178.4,-55,700
15930,1,1704.4,9328.7,-55,700
15931,1,1619.7,10313,-55,700
15932,1,7048.6,10816,-55,700
15933,1,4704.7,11076,-55,700
15934,1,4785.8,12658,-55,700
15935,1,6106.7,2402,-45,700
15936,1,8195.5,4432.3,-45,700
15937,1,1415.8,5013.2,-45,700
15938,1,2658.7,5057,-45,700
15939,1,6805.7,6516.8,-45,700
15940,1,1224.6,6881.4,-45,700
15941,1,7062.9,7635.8,-45,700
15942,1,6624.7,7663.8,-45,700
15943,1,6866,9215.3,-45,700
15944,1,7527.1,10385,-45,700
15945,1,6912.5,10566,-45,700
15946,1,3303.6,12254,-45,700
15947,1,5767.6,1019.8,-35,700
15948,1,3853.6,3170.3,-35,700
15949,1,2782.6,6415.2,-35,700
15950,1,5655.4,7845.2,-35,700
15951,1,5840.6,8753.7,-35,700
15952,1,5824.4,10105,-35,700
15953,1,2009.7,10476,-35,700
15954,1,3030,12141,-35,700
15955,1,4500.6,12662,-35,700
15956,1,5099.8,1036.3,-25,700
15957,1,4725.7,1282.5,-25,700
15958,1,6745.8,3029.8,-25,700
15959,1,5090.5,3292.2,-25,700
15960,1,3260.2,3583.3,-25,700
15961,1,2313.5,3698.3,-25,700
15962,1,7316.8,4563.3,-25,700
15963,1,8491.6,5742.4,-25,700
15964,1,3493,6685.6,-25,700
15965,1,2035.1,8868.3,-25,700
15966,1,1703.2,9007.8,-25,700
15967,1,7383.2,10128,-25,700
15968,1,2345.4,10440,-25,700
15969,1,3165.2,2169.5,-15,700
15970,1,6388.7,2773.8,-15,700
15971,1,2323.5,4197.3,-15,700
15972,1,1286.9,4610.3,-15,700
15973,1,2169.2,5434.3,-15,700
15974,1,1910.3,6051.2,-15,700
15975,1,1197.9,7503.2,-15,700
15976,1,1891.1,7701.9,-15,700
15977,1,7013.3,10689,-15,700
15978,1,3858.4,11711,-15,700
15979,1,3458.2,2569.8,-5,700
15980,1,7669,4201.2,-5,700
15981,1,8187.2,5325.9,-5,700
15982,1,3419.7,6991.1,-5,700
15983,1,1501.3,7115.6,-5,700
15984,1,6702.2,8294.4,-5,700
15985,1,5201.4,11299,-5,700
15986,1,4859.5,1366,5,700
15987,1,6426.5,2209.3,5,700
15988,1,6267.3,2879.7,5,700
15989,1,3527.4,3271.3,5,700
15990,1,2722.7,3394.8,5,700
15991,1,7658.9,3405.4,5,700
15992,1,1511.7,3927.7,5,700
15993,1,4555.7,4258.2,5,700
15994,1,1064.6,6231,5,700
15995,1,3011,6530,5,700
15996,1,8287.9,6828.2,5,700
15997,1,3493.4,7017.9,5,700
15998,1,6734.2,7876.7,5,700
15999,1,1528.3,9276.5,5,700
16000,1,3088.8,9675,5,700
16001,1,2063.7,10446,5,700
16002,1,4787.4,10780,5,700
16003,1,5961.5,11677,5,700
16004,1,5680.2,11695,5,700
16005,1,3499.5,1340.2,15,700
16006,1,3556.5,1677.5,15,700
16007,1,2744.5,1870,15,700
16008,1,6360.1,2870.9,15,700
16009,1,3150.6,3191.6,15,700
16010,1,4359.4,5210.4,15,700
16011,1,4660.5,5945.2,15,700
16012,1,5497.9,7628.1,15,700
16013,1,1353.7,8293.4,15,700
16014,1,2373.8,8314.7,15,700
16015,1,4297.5,8406.5,15,700
16016,1,1617,8482.7,15,700
16017,1,3248.1,9528,15,700
16018,1,4303.1,10144,15,700
16019,1,4453.9,10563,15,700
16020,1,2277.8,11509,15,700
16021,1,4339.8,12019,15,700
16022,1,5468.7,1018,25,700
16023,1,5778.5,2029.8,25,700
16024,1,7604.5,3493.6,25,700
16025,1,4580.5,3714,25,700
16026,1,2408.4,4871.7,25,700
16027,1,1428.6,7505.6,25,700
16028,1,3169.5,7694.9,25,700
16029,1,5123.2,9893.4,25,700
16030,1,4551.1,11843,25,700
16031,1,2991.4,12404,25,700
16032,1,3880.3,1476.8,35,700
16033,1,3936.9,1852.7,35,700
16034,1,7543.8,3498.8,35,700
16035,1,2065.2,3789.1,35,700
16036,1,5719.6,4034.6,35,700
16037,1,4258,7986.5,35,700
16038,1,2265.7,9174.9,35,700
16039,1,5265.2,9341.3,35,700
16040,1,2891,10337,35,700
16041,1,3315.8,10423,35,700
16042,1,1731.4,10522,35,700
16043,1,6991.7,11034,35,700
16044,1,4997.8,12247,35,700
16045,1,3299.1,4076.3,45,700
16046,1,7247,4199.4,45,700
16047,1,1204.3,4955.1,45,700
16048,1,3745.4,5226.6,45,700
16049,1,1654.9,5235.2,45,700
16050,1,8196.4,5722.2,45,700
16051,1,2411.2,6096.7,45,700
16052,1,8510.7,6902,45,700
16053,1,4965.1,7086.4,45,700
16054,1,6764.2,7152.6,45,700
16055,1,2218.2,7254.5,45,700
16056,1,6210,7357.7,45,700
16057,1,1170.6,8612.7,45,700
16058,1,2838.5,10695,45,700
16059,1,6293.2,11628,45,700
16060,1,4578,12134,45,700
16061,1,4449,1445.5,55,700
16062,1,4864.2,3458,55,700
16063,1,3667.2,4588,55,700
16064,1,3292.4,4728.9,55,700
16065,1,1454.3,5849.4,55,700
16066,1,2787.7,7192.9,55,700
16067,1,4518.1,7286.9,55,700
16068,1,6023.8,8026.5,55,700
16069,1,2168.3,9558.8,55,700
16070,1,7342.3,9643.7,55,700
16071,1,6491.3,10768,55,700
16072,1,2653.2,2731.2,65,700
16073,1,5136.4,2796.6,65,700
16074,1,6994.9,3259.6,65,700
16075,1,1671.8,4341.5,65,700
16076,1,4355.8,4372.8,65,700
16077,1,6493.4,4623.5,65,700
16078,1,4365.4,5862.7,65,700
16079,1,962.67,7170,65,700
16080,1,4409.2,8448.6,65,700
16081,1,2579.5,10060,65,700
16082,1,2717.1,10306,65,700
16083,1,2009.3,10466,65,700
16084,1,6567.4,11036,65,700
16085,1,5758.8,11436,65,700
16086,1,3035.2,11832,65,700
16087,1,3186.5,12393,65,700
16088,1,5588,1525.4,75,700
16089,1,6214.7,3374.5,75,700
16090,1,7353.7,3447.7,75,700
16091,1,7570.3,4348.3,75,700
16092,1,2645.1,4525.4,75,700
16093,1,2103.8,4833.7,75,700
16094,1,4890.2,4864.1,75,700
16095,1,3038.2,5499.3,75,700
16096,1,2240.1,6238.6,75,700
16097,1,6878.1,8549,75,700
16098,1,4272.3,9695.7,75,700
16099,1,5972.2,10208,75,700
16100,1,6174.6,10376,75,700
16101,1,4616.6,10519,75,700
16102,1,7011.3,10916,75,700
16103,1,5557.9,11754,75,700
16104,1,4508.2,3382.3,85,700
16105,1,1240.1,7534,85,700
16106,1,2263.6,8239.3,85,700
16107,1,1209.3,8390.1,85,700
16108,1,6269.8,8942.8,85,700
16109,1,4026.2,12134,85,700
16110,1,5427.4,838.91,95,700
16111,1,3455.2,1313.5,95,700
16112,1,6505.4,1805.1,95,700
16113,1,6086.4,2700.7,95,700
16114,1,5078,3101.6,95,700
16115,1,8074.8,5086.4,95,700
16116,1,7742.2,6089.6,95,700
16117,1,7991.2,6109.1,95,700
16118,1,5149.1,7389.6,95,700
16119,1,3244.2,10033,95,700
16120,1,6281.1,10485,95,700
16121,1,4858.5,11758,95,700
16122,1,4997.7,1101.1,105,700
16123,1,7052.1,2920.2,105,700
16124,1,6589.3,3661.4,105,700
16125,1,1695.2,7052.2,105,700
16126,1,2190.9,8411.8,105,700
16127,1,7866.7,8538.3,105,700
16128,1,3909.8,10616,105,700
16129,1,5051.1,12687,105,700
16130,1,2973.3,2255.3,115,700
16131,1,2540.5,3717.2,115,700
16132,1,6562.2,3812.6,115,700
16133,1,6469.5,7746.5,115,700
16134,1,2780.8,8499.4,115,700
16135,1,5525.5,8947.9,115,700
16136,1,6667.7,9688.5,115,700
16137,1,6114.7,10977,115,700
16138,1,3159.5,2138.5,125,700
16139,1,5668.7,2910.7,125,700
16140,1,5177.8,2997.9,125,700
16141,1,2668.3,3509.2,125,700
16142,1,4626.8,3556.9,125,700
16143,1,7324.6,3989.3,125,700
16144,1,1352.9,5427.4,125,700
16145,1,8169.9,6923,125,700
16146,1,1198.9,6936.4,125,700
16147,1,2085.6,8472.2,125,700
16148,1,1409.8,8521.8,125,700
16149,1,4087.8,12121,125,700
16150,1,3158.2,1995.2,135,700
16151,1,7461.5,3935.2,135,700
16152,1,1188.7,5607.7,135,700
16153,1,1727.6,6375.9,135,700
16154,1,5087.4,7905,135,700
16155,1,1200.1,8669.7,135,700
16156,1,6073.6,10919,135,700
16157,1,5431,2599.9,145,700
16158,1,5036.7,4627.7,145,700
16159,1,7987.8,5735.3,145,700
16160,1,6210.8,7771.4,145,700
16161,1,4626.3,12387,145,700
16162,1,5397,2106.9,155,700
16163,1,5518.6,5052.8,155,700
16164,1,4028,8763.6,155,700
16165,1,3269.4,9757.8,155,700
16166,1,2403.9,10175,155,700
16167,1,7066.8,11310,155,700
16168,1,6132.6,11949,155,700
16169,1,5287,1623.7,165,700
16170,1,4196.9,4397,165,700
16171,1,3820.4,5812,165,700
16172,1,6491.7,7114.6,165,700
16173,1,4311.9,845.05,175,700
16174,1,4134.1,1485.7,175,700
16175,1,7338.3,3538.7,175,700
16176,1,4076.3,4898.3,175,700
16177,1,2484,8939.8,175,700
16178,1,1776.1,9484.8,175,700
16179,1,2782.9,10929,175,700
16180,1,4347.2,10993,175,700
16181,1,1806.2,11060,175,700
16182,1,2462,3916.5,185,700
16183,1,6084.9,4064.9,185,700
16184,1,1972.5,4475.2,185,700
16185,1,3424.5,5178.7,185,700
16186,1,2100.3,9195,185,700
16187,1,1965.4,10155,185,700
16188,1,6973.7,2462.3,195,700
16189,1,4126.3,9071.9,195,700
16190,1,3449.8,10003,195,700
16191,1,7132.2,10468,195,700
16192,1,5003.7,10878,195,700
16193,1,6404.5,11804,195,700
16194,1,2762.9,12148,195,700
16195,1,4991,1450,205,700
16196,1,4252.9,2804.3,205,700
16197,1,3205,3294.8,205,700
16198,1,2497.6,3806.7,205,700
16199,1,3628.4,4224.1,205,700
16200,1,1655.4,6523.6,205,700
16201,1,5219.2,3345,215,700
16202,1,6471.5,3698.4,215,700
16203,1,1728,5476.5,215,700
16204,1,3603.3,7612.3,215,700
16205,1,2624,8051.6,215,700
16206,1,6233.2,10385,215,700
16207,1,5432.9,4801.5,225,700
16208,1,8116.7,6855.9,225,700
16209,1,6637.9,2295.9,235,700
16210,1,4519.9,2595.5,235,700
16211,1,3845.2,3726.9,235,700
16212,1,4650.1,5155,235,700
16213,1,2133.5,5979.3,235,700
16214,1,3217,8470.8,235,700
16215,1,5380.9,13037,235,700
16216,1,3432.5,2051.4,245,700
16217,1,7288.8,3475.6,245,700
16218,1,3157.4,4939.6,245,700
16219,1,4465.1,5226.2,245,700
16220,1,1208.3,7288,245,700
16221,1,2658.6,7515.7,245,700
16222,1,1840.2,9566.8,245,700
16223,1,3314.6,10682,245,700
16224,1,3628.7,11987,245,700
16225,1,3096.3,12535,245,700
16226,1,4137.7,1080.5,255,700
16227,1,5733.1,2348,255,700
16228,1,1034.6,6476,255,700
16229,1,8187.7,6590.8,255,700
16230,1,4815.7,2897.5,265,700
16231,1,5867.9,11159,265,700
16232,1,4996.6,13253,265,700
16233,1,4240.4,1638.6,275,700
16234,1,7141.9,2589.9,275,700
16235,1,5883.2,2917.6,275,700
16236,1,5202.1,9048,275,700
16237,1,4890.5,11688,275,700
16238,1,2219.1,11753,275,700
16239,1,6099.5,12105,275,700
16240,1,5650.2,12322,275,700
16241,1,5161.3,12705,275,700
16242,1,7973.9,4263.5,285,700
16243,1,4109.7,4382.5,285,700
16244,1,2932.5,5458.9,285,700
16245,1,4043.9,9935.3,285,700
16246,1,2802.5,3981.8,295,700
16247,1,8514.4,6247.1,295,700
16248,1,4266.1,9998.5,295,700
16249,1,6565,10512,295,700
16250,1,6745.5,6604.6,305,700
16251,1,896.38,7491.6,305,700
16252,1,6297,8329.9,305,700
16253,1,3229.9,4844.3,315,700
16254,1,5154.9,7217.4,315,700
16255,1,2071.6,10649,315,700
16256,1,4061.5,4718.7,325,700
16257,1,2463,5433.2,325,700
16258,1,2507,9311.3,325,700
16259,1,4537.1,10013,325,700
16260,1,5854.2,11171,325,700
16261,1,5289.8,11400,325,700
16262,1,5818.5,4790.9,335,700
16263,1,2027.8,7330,335,700
16264,1,4117.4,12250,335,700
16265,1,5364.3,3269.7,345,700
16266,1,1876.6,4264.4,345,700
16267,1,4209.3,6145.3,345,700
16268,1,5806,10541,345,700
16269,1,3441.3,2261.3,355,700
16270,1,1582.5,8756.5,355,700
16271,1,5122.4,3614.1,365,700
16272,1,1839.2,4952.2,365,700
16273,1,3198.5,6321.5,365,700
16274,1,5628.4,11187,365,700
16275,1,3417.4,2873.2,375,700
16276,1,5387.2,4601,375,700
16277,1,5485.6,2525,385,700
16278,1,2914.1,2971.7,385,700
16279,1,3578.4,9202.1,385,700
16280,1,3871.7,11725,385,700
