id,frame,x [nm],y [nm],z [nm],centroid [nm]
17667,1,2655.2,9025.3,-505,700
17668,1,7990.4,5835.5,-485,700
17669,1,7219.1,2283,-475,700
17670,1,2189.1,4404.8,-445,700
17671,1,1461.4,4183.5,-435,700
17672,1,7823.1,7723,-435,700
17673,1,3039.7,2103.2,-425,700
17674,1,4138.8,9363.6,-405,700
17675,1,2033.7,2874.1,-385,700
17676,1,2664.2,10125,-385,700
17677,1,2598.1,4747.4,-375,700
17678,1,5119.8,1362.3,-355,700
17679,1,5664.7,1918.1,-355,700
17680,1,5794,7774.2,-355,700
17681,1,6061.2,9080.9,-355,700
17682,1,2688.2,11608,-355,700
17683,1,3827.5,1488.1,-335,700
17684,1,3822.4,1960.5,-335,700
17685,1,3793.7,3042.6,-335,700
17686,1,3503.9,2289.2,-325,700
17687,1,1389.6,9297.3,-325,700
17688,1,4751.4,11429,-325,700
17689,1,7413.3,2742.6,-315,700
17690,1,2148.9,4710.1,-315,700
17691,1,5024.9,9938.3,-315,700
17692,1,2249.3,10731,-315,700
17693,1,5306.8,2824.5,-305,700
17694,1,4950.4,4903.1,-305,700
17695,1,5258.8,937.31,-295,700
17696,1,4331.1,1422.8,-295,700
17697,1,6541.4,2880.6,-295,700
17698,1,742.6,5874.2,-295,700
17699,1,3800.6,9224.4,-295,700
17700,1,4892.8,11185,-295,700
17701,1,4491.5,11557,-295,700
17702,1,5462.2,2276.2,-285,700
17703,1,5625.6,2330.2,-285,700
17704,1,2295.1,2589.8,-285,700
17705,1,1554.3,3723.2,-285,700
17706,1,6651.5,7043,-285,700
17707,1,3584.8,11733,-285,700
17708,1,2905,1811.1,-275,700
17709,1,1782.9,7698.6,-275,700
17710,1,5393.9,11607,-275,700
17711,1,3385.1,12055,-275,700
17712,1,5194.1,12313,-275,700
17713,1,7276.8,3238.3,-265,700
17714,1,2292.2,5112.4,-265,700
17715,1,5396.4,7643.5,-265,700
17716,1,6796.4,10612,-265,700
17717,1,4403.1,1636.7,-255,700
17718,1,5450.4,4864.4,-255,700
17719,1,4532.8,9300.5,-255,700
17720,1,2539.4,11302,-255,700
17721,1,3202.5,11418,-255,700
17722,1,6647.7,2036.9,-245,700
17723,1,1146.6,8783.4,-245,700
17724,1,3068.1,9514.6,-245,700
17725,1,7082,9559.4,-245,700
17726,1,7432.1,9934.2,-245,700
17727,1,7108.3,10179,-245,700
17728,1,3525.8,2772.2,-235,700
17729,1,8019.1,6667.9,-235,700
17730,1,8165.8,7333.9,-235,700
17731,1,5231.7,8446.6,-235,700
17732,1,6262.2,10543,-235,700
17733,1,3591.5,1011,-225,700
17734,1,6093.5,1638.1,-225,700
17735,1,2655.9,2191.5,-225,700
17736,1,1766.5,5550.8,-225,700
17737,1,6172.6,6430.4,-225,700
17738,1,4539.7,9045.6,-225,700
17739,1,3480.9,9742.5,-225,700
17740,1,2193.3,9792.8,-225,700
17741,1,3188.3,11851,-225,700
17742,1,7171.5,2993.9,-215,700
17743,1,6469.8,4666.5,-215,700
17744,1,4016.1,6890.1,-215,700
17745,1,1077.8,7693,-215,700
17746,1,1264,8654.8,-215,700
17747,1,4211,10760,-215,700
17748,1,3164.3,2301.4,-205,700
17749,1,1883.1,6403.5,-205,700
17750,1,2715.8,7559.8,-205,700
17751,1,2670.8,8773.3,-205,700
17752,1,5404.2,12289,-205,700
17753,1,970.61,7375.9,-195,700
17754,1,5389.2,9298.3,-195,700
17755,1,3891.6,10192,-195,700
17756,1,3073.2,10975,-195,700
17757,1,3232.5,11326,-195,700
17758,1,5123,11444,-195,700
17759,1,4402.8,12231,-195,700
17760,1,5465,2225.8,-185,700
17761,1,2448.2,5071.9,-185,700
17762,1,1515.6,7698.4,-185,700
17763,1,5676.1,8221.5,-185,700
17764,1,4393.1,2606.3,-175,700
17765,1,6873.2,4287.8,-175,700
17766,1,6794.5,10970,-175,700
17767,1,4565.1,11445,-175,700
17768,1,2201.5,6297.6,-165,700
17769,1,4022.1,7680.8,-165,700
17770,1,7834.1,7966.3,-165,700
17771,1,3141.7,12005,-165,700
17772,1,6490.3,2269.1,-155,700
17773,1,1959.6,6825.4,-155,700
17774,1,4396.8,8894.3,-155,700
17775,1,2946.4,9321.1,-155,700
17776,1,3058.4,11701,-155,700
17777,1,3762.9,2300.4,-145,700
17778,1,2589.7,5185,-145,700
17779,1,2363.8,6044.9,-145,700
17780,1,4475.8,9574.1,-145,700
17781,1,3967,9781.4,-145,700
17782,1,4045.8,10708,-145,700
17783,1,4502.1,1582.6,-135,700
17784,1,7480.8,3261.5,-135,700
17785,1,3630.7,4295,-135,700
17786,1,2851.3,7594.2,-135,700
17787,1,5977.8,7809.5,-135,700
17788,1,2778.6,9146.3,-135,700
17789,1,1936,9603.5,-135,700
17790,1,3461,11104,-135,700
17791,1,7828.3,5501.4,-125,700
17792,1,2496.4,6028.2,-125,700
17793,1,3977.6,7532.7,-125,700
17794,1,2354.4,10665,-125,700
17795,1,5680.3,6631.5,-115,700
17796,1,3575.8,11870,-115,700
17797,1,6405.9,2029.1,-105,700
17798,1,3190.7,2089.4,-105,700
17799,1,4157.1,3082.4,-105,700
17800,1,1969.9,3839.4,-105,700
17801,1,6327.3,4318.1,-105,700
17802,1,1434.8,5266.5,-105,700
17803,1,6753,6771.5,-105,700
17804,1,6499.9,8527.5,-105,700
17805,1,3506,8547.8,-105,700
17806,1,4166.3,10286,-105,700
17807,1,6962.8,10629,-105,700
17808,1,3341.8,11356,-105,700
17809,1,6125.1,11417,-105,700
17810,1,4051.4,11673,-105,700
