id,frame,x [nm],y [nm],z [nm],centroid [nm]
1,1,4528.1,8601.5,-495,670
2,1,8222,5834.9,-475,670
3,1,1781.3,4392.9,-455,670
4,1,2731.9,2602,-445,670
5,1,6690.9,1407.3,-415,670
6,1,3213.3,3548.8,-315,670
7,1,896.74,7015.3,-315,670
8,1,7109,2251.3,-305,670
9,1,4337,3665.8,-305,670
10,1,8657,5783.8,-285,670
11,1,6368.7,10501,-275,670
12,1,6696,1556.7,-265,670
13,1,1097.6,5590.3,-265,670
14,1,767.5,5681.4,-265,670
15,1,6262.6,11169,-265,670
16,1,3590.7,8265.7,-255,670
17,1,5875.7,3883.7,-235,670
18,1,8243.1,7196.2,-235,670
19,1,2105.5,10428,-235,670
20,1,927.7,8068.5,-225,670
21,1,7613.1,9144.8,-215,670
22,1,4038.9,3421.9,-205,670
23,1,4435.1,11540,-205,670
24,1,6804.6,8103.6,-185,670
25,1,1093.1,8196.4,-185,670
26,1,1888.8,10529,-185,670
27,1,2929,6194.2,-175,670
28,1,1165.8,7188.2,-165,670
29,1,6493.6,7546.6,-165,670
30,1,6243.7,1936.5,-155,670
31,1,2364.2,3302.7,-155,670
32,1,5076.2,6984.9,-155,670
33,1,7688.5,7644.4,-155,670
34,1,5519.8,4103.9,-145,670
35,1,1530.5,8321.6,-145,670
36,1,7820.1,4111.2,-135,670
37,1,4791.1,6105.8,-135,670
38,1,5148.6,7973.3,-125,670
39,1,5091.3,1233.5,-115,670
40,1,4878,2853.3,-115,670
41,1,8198.8,4852.4,-115,670
42,1,6993.2,4957,-115,670
43,1,8350.5,5687.1,-115,670
44,1,7253.4,9916,-115,670
45,1,7479.6,5241.9,-105,670
46,1,8085.4,5337.7,-105,670
47,1,2214.4,6516.8,-95,670
48,1,2861.7,10937,-95,670
49,1,7201.6,11032,-95,670
50,1,6891.4,11097,-95,670
51,1,7526.5,2610.4,-85,670
52,1,8178.1,4793.2,-85,670
53,1,5375.3,6799.1,-85,670
54,1,4346.5,7855.6,-85,670
55,1,1623.5,4950.1,-75,670
56,1,4004,1784.7,-65,670
57,1,1413,5003.2,-65,670
58,1,1915.4,11090,-65,670
59,1,3483.3,8025.1,-55,670
60,1,2216.3,8820,-55,670
61,1,5337.5,12247,-55,670
62,1,3099.3,4990.3,-45,670
63,1,5125.1,6725.1,-45,670
64,1,7675.2,9652.9,-45,670
65,1,2006.4,3744.5,-35,670
66,1,1146.6,7282.9,-35,670
67,1,6107.1,1521.6,-25,670
68,1,4089.1,3780.2,-25,670
69,1,7918.7,3819.9,-25,670
70,1,1856.4,8378.5,-25,670
71,1,2876.9,10292,-25,670
72,1,4647.1,1540.5,-15,670
73,1,7267.1,4696.1,-15,670
74,1,7085.5,4778,-15,670
75,1,5723.9,6375.7,-15,670
76,1,8108.1,8327,-15,670
77,1,7138.2,10902,-15,670
78,1,1826.1,5955.8,-5,670
79,1,5685.5,6837.9,-5,670
80,1,6653.8,10016,-5,670
81,1,5478.6,11989,-5,670
82,1,6380.8,12027,-5,670
83,1,7888.5,7392.1,5,670
84,1,2051.2,7469.7,5,670
85,1,6787.5,7543,5,670
86,1,2333.8,9117.3,5,670
87,1,7633.4,7875.9,15,670
88,1,4685.3,10482,15,670
89,1,4271.4,930.07,25,670
90,1,5536.5,4995.1,25,670
91,1,4200,4279.8,35,670
92,1,8393.9,4353.2,35,670
93,1,7188.5,9339.2,35,670
94,1,6111.1,1753.5,45,670
95,1,4059.4,12672,45,670
96,1,7111.6,4641.1,55,670
97,1,7764.4,6637.3,55,670
98,1,3548.5,8528.8,55,670
99,1,5241.4,9958.1,55,670
100,1,6485.8,2032.7,65,670
101,1,7263.6,7415.9,65,670
102,1,6333.1,9350.4,65,670
103,1,1541.6,10301,65,670
104,1,8588.9,5924.9,75,670
105,1,5081.9,9118.2,75,670
106,1,6224.4,1364.8,85,670
107,1,7146.6,4288.2,85,670
108,1,1623,6314.5,85,670
109,1,3949.8,2409.8,95,670
110,1,7006.9,7004.4,95,670
111,1,3141.9,9640,95,670
112,1,6013.7,10916,95,670
113,1,3352.4,11068,95,670
114,1,3545.8,12385,95,670
115,1,4356.1,12809,95,670
116,1,8315.9,4675,105,670
117,1,2519.3,8095.6,105,670
118,1,5284,788.74,115,670
119,1,5669.3,4485.8,115,670
120,1,5959.3,7984.9,115,670
121,1,6484.4,8674.3,115,670
122,1,1345.5,10002,115,670
123,1,6942.5,11415,115,670
124,1,4283.5,8695.9,125,670
125,1,6504.4,10417,125,670
126,1,3825.6,1170.3,135,670
127,1,2603.1,2767.5,135,670
128,1,7938.8,6834.6,135,670
129,1,2613.9,7989.3,135,670
130,1,6534.2,9227.7,135,670
131,1,4588.4,7177,145,670
132,1,3612.3,11021,155,670
133,1,4487.9,3818,165,670
134,1,6743.9,4525.4,165,670
135,1,2978.7,10437,165,670
136,1,5298.7,10644,165,670
137,1,6899.6,8495.4,215,670
138,1,3720.9,9201.9,225,670
139,1,4301.7,12781,225,670
140,1,4924.6,503.27,245,670
141,1,4386.6,9618.1,255,670
142,1,1698.9,10014,255,670
143,1,4094,12637,255,670
144,1,8015,9063.4,275,670
145,1,4530.7,10209,275,670
146,1,4409.4,12664,275,670
147,1,3233.6,2087.4,285,670
148,1,6447.3,10239,285,670
149,1,2373.3,11527,295,670
150,1,1815.5,4546,305,670
151,1,6919,8497,305,670
152,1,3182.3,1939.9,315,670
153,1,3200.5,9974.2,315,670
154,1,976.72,6289.8,325,670
155,1,864.32,6862.3,345,670
