id,frame,x [nm],y [nm],z [nm],centroid [nm]
1,1,5287.8,1905.7,-505,670
2,1,633.19,7270.3,-445,670
3,1,1093.8,8118.6,-445,670
4,1,2719.7,7680.1,-395,670
5,1,7528.8,3298.4,-385,670
6,1,7066.1,7962.1,-345,670
7,1,5671.1,4482.3,-325,670
8,1,5628.9,4393.3,-315,670
9,1,6049.2,7040.3,-315,670
10,1,3299.7,4717.8,-305,670
11,1,1080,7435.7,-305,670
12,1,875.47,4484.8,-295,670
13,1,4112.3,4556.8,-295,670
14,1,4022.2,11601,-295,670
15,1,8463.8,4805,-275,670
16,1,2452.1,6666.5,-275,670
17,1,4553.1,10604,-265,670
18,1,5804.8,1010.4,-255,670
19,1,3489.8,2150.1,-245,670
20,1,3996.5,5761.1,-245,670
21,1,7528.6,6623.3,-235,670
22,1,4471.2,814.63,-225,670
23,1,8217.9,5548.1,-225,670
24,1,6083.1,7917.6,-225,670
25,1,1708.9,3568.1,-215,670
26,1,1991.1,6959.6,-215,670
27,1,7178.8,7776.6,-205,670
28,1,1454.1,8281.8,-195,670
29,1,5241.6,8585.9,-195,670
30,1,3444.1,1669.8,-185,670
31,1,4551,4492.9,-185,670
32,1,5158.7,6708,-185,670
33,1,6139.6,7685.9,-185,670
34,1,4502.7,8422.8,-175,670
35,1,2277.4,8607.7,-175,670
36,1,1755.1,4958.1,-165,670
37,1,3787.1,6574.5,-165,670
38,1,2995.3,8195.7,-165,670
39,1,2898.1,10156,-165,670
40,1,4312.1,12711,-165,670
41,1,4495,12825,-165,670
42,1,2193.5,10088,-155,670
43,1,5697.2,12421,-155,670
44,1,1228.6,5121.3,-135,670
45,1,6790.2,7171.6,-125,670
46,1,1010.6,8678.3,-125,670
47,1,7443.3,9197.6,-125,670
48,1,5565.2,5851,-115,670
49,1,3849.6,8441.8,-115,670
50,1,2708.5,9735.3,-115,670
51,1,3405.7,1511.2,-105,670
52,1,7011.4,3126.6,-105,670
53,1,7538.7,4652.8,-95,670
54,1,6943.9,10868,-95,670
55,1,6643.5,2292.7,-85,670
56,1,5105.4,2467.9,-85,670
57,1,5845.2,2915,-85,670
58,1,4492.3,6995.6,-85,670
59,1,7849.6,8071.5,-85,670
60,1,6955.6,8141.2,-85,670
61,1,4269.9,8972.9,-85,670
62,1,2303.5,3859.1,-75,670
63,1,4895.4,11889,-75,670
64,1,5829.5,2787,-65,670
65,1,3299.1,6313.5,-65,670
66,1,5759.8,10119,-65,670
67,1,6005.5,11960,-65,670
68,1,8345.1,4618.4,-55,670
69,1,1659.8,9551.4,-55,670
70,1,6239.9,11155,-55,670
71,1,7842.8,5724.4,-45,670
72,1,6459.2,2442.3,-35,670
73,1,6809.5,8821.6,-25,670
74,1,2520.3,10923,-25,670
75,1,6232.7,2133.4,-15,670
76,1,3705.3,3182.7,-15,670
77,1,5515.7,1995.9,-5,670
78,1,1108.8,8258.5,-5,670
79,1,1803.7,10270,-5,670
80,1,5314.9,1231.3,5,670
81,1,5610.8,2665.8,5,670
82,1,8427.6,5151.3,5,670
83,1,7859.2,7401.8,5,670
84,1,1175.6,7701.7,5,670
85,1,3556.1,7944.9,5,670
86,1,2656.8,8115.1,5,670
87,1,7008.7,10307,5,670
88,1,3614.5,12408,5,670
89,1,3981.5,12688,5,670
90,1,7554.4,2595.8,15,670
91,1,2846.4,5708.6,15,670
92,1,3610.1,6678.3,15,670
93,1,1623.1,4393.3,25,670
94,1,2230.2,10134,25,670
95,1,3957.6,10522,25,670
96,1,1352.2,4640.4,35,670
97,1,8344.3,5337,35,670
98,1,2932.8,6748,35,670
99,1,2716.5,7726.6,35,670
100,1,8134,8094.8,35,670
101,1,5833.4,10582,35,670
102,1,2756.4,11599,35,670
103,1,1172.3,4513.8,45,670
104,1,3322.8,5976,45,670
105,1,737.3,6605,45,670
106,1,5390.6,9637.4,45,670
107,1,3739.1,10239,45,670
108,1,5907.2,12398,45,670
109,1,7776.3,3681.5,55,670
110,1,3055,5380,55,670
111,1,2050.5,8994.5,55,670
112,1,1975.6,11471,55,670
113,1,2998.5,5437.4,65,670
114,1,7602.7,9550.8,65,670
115,1,7124.6,9956.5,65,670
116,1,4479.6,12641,65,670
117,1,8012.5,6082.2,75,670
118,1,1069.4,7067.8,75,670
119,1,6327.9,7954.2,75,670
120,1,2303.3,11406,75,670
121,1,5418.6,1352.9,85,670
122,1,7684,5861.2,85,670
123,1,7899.4,5943.3,85,670
124,1,816.25,6834.7,85,670
125,1,3367.3,7438.9,85,670
126,1,3684.2,1343.8,95,670
127,1,1218,4959.2,95,670
128,1,5505.8,6222.5,95,670
129,1,2839.4,7429.1,95,670
130,1,1346.6,8410,95,670
131,1,4389.9,11172,95,670
132,1,4157.4,11209,95,670
