id,frame,x [nm],y [nm],sigmax [nm],sigmay [nm],intensity [photon],offset [photon],uncertainty [nm],centroid [nm],bgstd,z [nm],z uncertainty,ydif,centroid2,fwhm0,fwhm1
239,27,10407,5167.4,-139.78,692.1,-139.26,116.84,116.84,244.33,191.84,11.722,8.4606,14.256,3871.1,1726,6016.3,235.99,229.18,242.8,27.915,20.047,35.782
250,28,10445,20186,-31.919,690.32,-171.5,180.43,180.43,326.86,265.17,13.078,13.275,12.879,7399,3011.1,11787,287.14,276.75,297.53,28.927,23.709,34.144
257,29,18688,12604,589.4,686.8,-236.07,420.71,420.71,322.14,260.7,9.8756,7.1736,11.983,22320,34631,10009,216.42,126.31,306.52,27.099,26.563,27.635
265,30,14438,16781,172.95,696.74,-56.753,168.29,168.29,237.24,186.18,16.956,9.8963,21.842,3956.2,4807.7,3104.7,404.71,355.34,454.07,31.305,32.454,30.156
273,31,15318,16843,148.9,690.66,-165.27,160.14,160.14,234.23,183.81,15.272,8.5105,19.85,6013.1,7591.2,4435,470.49,429.06,511.92,44.65,49.027,40.272
284,33,3291.9,16654,399.65,699.92,-1.4843,570.5,570.5,503.74,445.3,9.5922,7.3926,11.374,55876,76205,35547,134.87,51.898,217.84,34.104,33.146,35.062
290,33,13236,19631,163.92,687.92,-215.35,154.58,154.58,220.47,173.4,21.978,6.2956,30.438,3537.7,5254.7,1820.6,306.75,262.91,350.59,27.252,25.926,28.577
297,35,4163.9,18538,154,692.54,-131.45,378.12,378.12,490.01,430.67,10.595,10.99,10.185,34796,23297,46295,166.01,147.3,184.73,39.183,34.794,43.573
304,36,4092.7,18551,49.954,692.61,-130.1,205.37,205.37,334.09,272.06,11.899,12.304,11.48,12653,9256.9,16049,284.9,285.82,283.98,46.291,53.034,39.547
314,36,21901,21230,279.57,686.45,-242.54,303.7,303.7,346.76,284.26,16.891,14.404,19.057,9684.5,11823,7546.1,379.16,303.45,454.88,32.345,36.123,28.568
324,37,22070,21512,170.85,699.23,-13.306,318,318,415.56,352.94,14.264,12.099,16.141,14608,12783,16433,405.36,368.06,442.67,32.557,29.665,35.448
331,38,16287,6798.4,47.291,689.6,-184.61,385.66,385.66,566.16,512.75,11.278,12.734,9.6049,36026,16698,55354,212.7,222.39,203,31.597,27.718,35.476
337,39,7484.7,12610,-321.31,694.44,-97.465,161.34,161.34,360.58,297.75,30.035,39.208,16.337,6708.2,1441.7,11975,492.46,496.52,488.4,39.39,43.052,35.727
344,39,12507,15108,-254.7,694.63,-94.091,207.12,207.12,431.89,369.73,14.43,15.516,13.255,11094,3747.9,18441,375.75,347.01,404.48,28.072,26.375,29.768
352,40,8122.4,17113,-225.81,701.47,25.268,119.1,119.1,264.76,208.86,22.312,12.1,29.143,2273.3,2046.2,2500.4,386.03,353.78,418.29,29.934,33.932,25.935
358,40,14307,7915.2,481.54,692.92,-124.59,401.56,401.56,343.06,280.68,13.058,9.3524,15.923,20810,32245,9375.1,383.07,250.17,515.96,33.251,36.217,30.285
364,41,9656.9,10984,-37.659,688.53,-204.19,166.99,166.99,307.55,247.07,12.327,5.726,16.465,8396,8708.4,8083.6,336.66,301.52,371.8,34.075,33.827,34.322
371,41,14329,10891,24.964,689.92,-178.82,313.02,313.02,488.17,428.72,17.795,20.016,15.253,17137,8822.9,25451,346.08,332.08,360.08,35.891,35.446,36.336
379,42,21739,12752,112.16,701.68,28.848,156.99,156.99,242.54,190.4,14.867,10.696,18.102,2225,1829.7,2620.3,183.39,169.66,197.13,17.381,14.843,19.919
391,43,18071,11878,-146.71,696.92,-53.651,245.2,245.2,465.76,405.03,10.252,10.027,10.474,15179,9884.1,20474,248.09,220.58,275.61,26.775,31.854,21.696
400,44,17558,3675.5,-33.988,691.08,-157.79,120.59,120.59,226.21,177.66,10.976,4.8223,14.754,3677.4,3382,3972.9,208.86,205.81,211.92,24.23,20.064,28.396
407,45,14851,9584.9,859.31,687.22,-228.37,298.81,298.81,196.62,157.2,30.722,13.383,41.335,4792.1,8335.1,1249.1,382.55,303.16,461.94,28.613,24.156,33.071
412,46,12741,7847.1,86.895,691.98,-141.38,176.44,176.44,279.84,221.98,19.006,20.923,16.873,5455,2077.9,8832.1,442.58,393.54,491.63,37.307,27.364,47.25
425,48,10522,15290,-58.768,689.54,-185.67,187.52,187.52,346.62,284.12,17.978,19.895,15.83,6233.8,2429.9,10038,409.28,312.03,506.53,29.224,26.905,31.543
434,49,14746,10448,189.18,700.15,2.5323,199.31,199.31,271.89,215.01,18.625,19.17,18.063,3610.1,3082.1,4138,390.62,356.8,424.44,27.035,29.133,24.938
442,50,17001,16103,466.04,694.22,-101.31,306.34,306.34,275.77,218.4,24.377,13.184,31.854,6339.6,9919.1,2760.1,318.04,236.81,399.27,27.911,27.022,28.799
451,52,2532.1,15424,143.31,700.88,15.078,206.08,206.08,298.3,238.57,12.798,13.783,11.729,12138,7689.5,16587,221.43,196.79,246.06,51.351,49.036,53.667
459,52,13808,10816,57.799,691.77,-145.16,153.42,153.42,255.56,201.07,15.681,10.485,19.541,3934.4,4246.5,3622.4,409.71,379.87,439.56,31.843,36.732,26.954
467,53,6304.4,13246,151.14,692.66,-129.19,204.64,204.64,293.38,234.1,22.646,22.014,23.26,3641.2,2990.9,4291.6,370.66,318.76,422.56,29.725,30.896,28.555
