id,frame,x [nm],y [nm],z [nm],centroid [nm]
1,1,4613,3286.4,-475,670
2,1,4836.7,8265.1,-435,670
3,1,3174.2,11176,-425,670
4,1,8397.9,6525.3,-415,670
5,1,4705.6,8839.1,-415,670
6,1,7955.4,5304.3,-395,670
7,1,2268.4,2735.6,-385,670
8,1,2817.8,2929.8,-385,670
9,1,5421.2,6360.6,-375,670
10,1,8748,5303,-365,670
11,1,7332.4,4094.4,-345,670
12,1,3604.1,5071.2,-335,670
13,1,4849.8,6236.6,-295,670
14,1,2387.3,3980.9,-285,670
15,1,3626.7,7558,-285,670
16,1,2682.2,11503,-265,670
17,1,7428.9,4975.9,-255,670
18,1,1830.4,5143.6,-255,670
19,1,3166.7,5491.4,-255,670
20,1,1073.2,7908.8,-255,670
21,1,3148.6,9967.1,-255,670
22,1,7073.2,2296.9,-235,670
23,1,1553.6,3621.2,-225,670
24,1,1506.4,7887.5,-225,670
25,1,5505.3,9565.5,-225,670
26,1,3300.7,1260.1,-205,670
27,1,3537.8,12246,-205,670
28,1,5506,2318.2,-195,670
29,1,5463.4,4482.7,-195,670
30,1,4089.5,6855.5,-195,670
31,1,4943.8,11739,-195,670
32,1,4534.6,2579.7,-175,670
33,1,4047.2,3414,-175,670
34,1,2102.1,3184.7,-165,670
35,1,7872.7,3336.6,-155,670
36,1,4403.8,2634.3,-145,670
37,1,7930.1,8396.7,-145,670
38,1,2099,10976,-145,670
39,1,1921.9,11073,-145,670
40,1,7813.1,7436.5,-135,670
41,1,1697.8,9876,-135,670
42,1,4346.1,5689.6,-125,670
43,1,5102,6545.7,-125,670
44,1,7891,7002.2,-125,670
45,1,4577.8,7789.4,-125,670
46,1,5594.1,6630.5,-115,670
47,1,3279.5,8034.3,-115,670
48,1,5696,8228,-115,670
49,1,5347.2,12280,-115,670
50,1,1003.6,5843.6,-105,670
51,1,2971.4,4228.9,-95,670
52,1,6792,8376.6,-95,670
53,1,4065,8554.4,-95,670
54,1,3972.4,10437,-95,670
55,1,1436.7,6710.5,-85,670
56,1,1749.5,7611.4,-85,670
57,1,7166.8,7863.5,-85,670
58,1,2302.6,7899.1,-85,670
59,1,3865,4477.3,-65,670
60,1,4316.9,5385.5,-65,670
61,1,4160.4,12527,-65,670
62,1,7420.1,4336.8,-55,670
63,1,2751.2,5271.9,-55,670
64,1,2208.2,5848.6,-55,670
65,1,2456.9,10326,-55,670
66,1,6250.5,10657,-55,670
67,1,3069.6,11247,-55,670
68,1,4951.8,12907,-55,670
69,1,6719.9,1944,-45,670
70,1,7415.9,3963.9,-45,670
71,1,8325,3997.3,-45,670
72,1,4538.8,4264.2,-45,670
73,1,2055.9,5547.3,-45,670
74,1,2496.9,6852.5,-45,670
75,1,4510.8,10087,-45,670
76,1,5645.3,1941,-35,670
77,1,4706,10946,-35,670
78,1,4689.9,12692,-35,670
79,1,2823.9,8374.4,-25,670
80,1,2670.7,9034.5,-25,670
81,1,7558,10216,-25,670
82,1,1746.6,10372,-25,670
83,1,2998.4,11297,-25,670
84,1,4473.8,8729.7,-15,670
85,1,1271.5,8775.6,-15,670
