"id","frame","x [nm]","y [nm]","sigmax [nm]","sigmay [nm]","intensity [photon]","offset [photon]","uncertainty [nm]","centroid [nm]","bgstd","z [nm]","z uncertainty","ydif","centroid2"
2.0,1.0,18412.0,1209.6,117.2,117.2,258.52,108.73,29.831,695.21,0.0,1.0,0.0,-0.53351,685.48
5.0,1.0,33778.0,4291.1,159.31,159.31,841.28,127.02,25.385,702.04,0.0,1.0,0.0,-0.99942,684.19
6.0,1.0,37402.0,4472.5,219.35,219.35,1304.6,103.75,20.763,713.58,0.0,1.0,0.0,-2.1444,693.81
7.0,1.0,31598.0,5694.3,230.09,230.09,1973.1,114.42,15.965,697.62,0.0,1.0,0.0,-0.95664,680.92
8.0,1.0,9567.9,6319.7,136.61,136.61,400.07,106.35,21.0,686.42,0.0,1.0,0.0,-1.0791,681.36
11.0,1.0,12326.0,8658.5,201.1,201.1,937.95,124.88,30.284,693.07,0.0,1.0,0.0,-0.55396,686.56
13.0,1.0,28764.0,11445.0,304.8,304.8,2458.5,133.9,22.537,706.58,0.0,1.0,0.0,0.10805,691.38
14.0,1.0,8735.2,14126.0,200.03,200.03,2405.8,129.37,13.655,692.53,0.0,1.0,0.0,-0.57378,687.92
15.0,1.0,2720.6,14432.0,145.46,145.46,455.04,104.31,27.875,693.49,0.0,1.0,0.0,-0.63407,692.05
16.0,1.0,42255.0,18751.0,271.86,271.86,2412.0,102.71,20.175,707.9,0.0,1.0,0.0,0.53563,685.57
17.0,1.0,1283.1,22402.0,173.87,173.87,1456.4,110.26,15.066,689.98,0.0,1.0,0.0,0.56736,689.3
21.0,1.0,41873.0,33975.0,201.88,201.88,1065.2,86.912,20.113,705.48,0.0,1.0,0.0,1.0756,683.34
22.0,1.0,24369.0,37953.0,140.42,140.42,1757.8,96.494,7.715,696.37,0.0,1.0,0.0,1.1089,683.49
25.0,1.0,19452.0,41308.0,165.51,165.51,1223.6,86.223,15.207,698.13,0.0,1.0,0.0,0.84567,687.85
