"id","frame","x [nm]","y [nm]","sigmax [nm]","sigmay [nm]","intensity [photon]","offset [photon]","uncertainty [nm]","centroid [nm]","bgstd","z [nm]","z uncertainty","ydif","centroid2"
76.0,1.0,6932.0,41466.0,128.82,128.82,447.94,29.243,13.118,700.61,0.0,1.0,0.0,0.74151,699.6
77.0,1.0,16188.0,42387.0,137.97,137.97,586.31,30.219,11.288,693.22,0.0,1.0,0.0,0.2733,690.86
79.0,1.0,11554.0,42518.0,160.28,160.28,589.37,31.767,14.647,697.6,0.0,1.0,0.0,0.98525,695.92
80.0,2.0,20982.0,417.85,154.24,154.24,423.62,42.678,21.688,696.04,0.0,1.0,0.0,-0.6672,692.98
81.0,2.0,40083.0,1628.7,188.39,188.39,770.59,35.905,15.597,700.88,0.0,1.0,0.0,-1.5931,695.03
82.0,2.0,35139.0,1938.3,176.25,176.25,522.16,40.924,20.376,708.19,0.0,1.0,0.0,-1.0341,703.07
83.0,2.0,27279.0,2365.6,173.94,173.94,849.67,46.753,14.949,705.1,0.0,1.0,0.0,-0.59806,701.12
84.0,2.0,40241.0,2892.0,131.47,131.47,402.89,35.923,16.807,703.22,0.0,1.0,0.0,-0.73452,697.35
85.0,2.0,8267.1,3027.7,155.78,155.78,801.63,42.374,13.07,695.38,0.0,1.0,0.0,-0.42383,694.17
88.0,2.0,23978.0,3729.7,145.73,145.73,653.27,46.537,13.697,693.53,0.0,1.0,0.0,-0.65382,690.03
89.0,2.0,29245.0,4275.2,143.17,143.17,973.1,43.032,10.569,702.23,0.0,1.0,0.0,-0.6529,697.97
90.0,2.0,42951.0,4418.1,146.07,146.07,426.96,34.395,17.365,704.5,0.0,1.0,0.0,-1.1269,698.23
92.0,2.0,49632.0,5119.0,128.62,128.62,279.63,28.617,21.341,699.91,0.0,1.0,0.0,0.51924,692.67
93.0,2.0,53775.0,5689.8,143.84,143.84,258.11,27.176,29.086,708.68,0.0,1.0,0.0,-0.14757,700.84
95.0,2.0,13132.0,6434.7,169.77,169.77,720.57,42.953,16.06,697.41,0.0,1.0,0.0,-0.52452,695.5
97.0,2.0,50356.0,6738.1,111.38,111.38,202.57,31.009,19.614,709.82,0.0,1.0,0.0,-0.3216,702.48
99.0,2.0,38512.0,7568.4,185.19,185.19,654.27,42.76,20.165,702.12,0.0,1.0,0.0,-0.37252,696.5
102.0,2.0,21373.0,8568.9,165.19,165.19,821.5,49.426,14.786,702.43,0.0,1.0,0.0,-0.35099,699.31
103.0,2.0,19223.0,8884.8,148.01,148.01,582.11,50.093,14.062,705.36,0.0,1.0,0.0,-1.1096,702.56
104.0,2.0,10559.0,9123.2,195.27,195.27,577.28,44.84,26.379,692.48,0.0,1.0,0.0,-0.18664,690.95
105.0,2.0,40282.0,9795.2,107.22,107.22,174.17,37.765,24.351,704.74,0.0,1.0,0.0,-0.04736,698.87
106.0,2.0,24217.0,10378.0,143.39,143.39,1152.8,49.956,9.6478,701.47,0.0,1.0,0.0,0.19241,697.94
109.0,2.0,49486.0,15081.0,129.42,129.42,315.54,31.602,18.675,697.75,0.0,1.0,0.0,0.24311,690.53
111.0,2.0,15282.0,17429.0,113.26,113.26,201.17,44.877,26.009,699.32,0.0,1.0,0.0,-0.037254,697.09
113.0,2.0,10316.0,18733.0,138.57,138.57,1068.5,48.988,8.5972,698.55,0.0,1.0,0.0,0.19322,697.05
114.0,2.0,11823.0,19131.0,165.19,165.19,742.37,44.544,15.242,699.12,0.0,1.0,0.0,0.90171,697.39
117.0,2.0,44773.0,21697.0,155.17,155.17,453.55,34.215,19.322,702.86,0.0,1.0,0.0,0.51358,696.33
118.0,2.0,45302.0,23422.0,151.56,151.56,346.75,33.89,19.805,705.77,0.0,1.0,0.0,0.58623,699.16
119.0,2.0,49701.0,23549.0,161.58,161.58,1420.9,32.807,8.2909,700.51,0.0,1.0,0.0,0.66253,693.26
120.0,2.0,20021.0,24276.0,128.06,128.06,937.53,48.495,8.6989,696.94,0.0,1.0,0.0,0.54408,694.03
121.0,2.0,46603.0,24769.0,171.57,171.57,470.4,33.874,20.59,707.99,0.0,1.0,0.0,0.41964,701.2
123.0,2.0,17458.0,25737.0,146.75,146.75,1745.2,48.707,5.9373,703.27,0.0,1.0,0.0,0.18967,700.73
124.0,2.0,41950.0,25738.0,197.26,197.26,1135.5,37.034,14.057,705.39,0.0,1.0,0.0,0.061063,699.28
125.0,2.0,23288.0,26002.0,145.79,145.79,2345.0,51.82,7.2879,698.96,0.0,1.0,0.0,0.3876,695.56
126.0,2.0,10971.0,26154.0,136.94,136.94,1103.8,45.689,8.5381,703.25,0.0,1.0,0.0,0.48456,701.65
127.0,2.0,4139.6,26167.0,146.2,146.2,671.3,35.401,13.494,697.66,0.0,1.0,0.0,-0.047609,697.05
128.0,2.0,5290.1,26701.0,126.96,126.96,1464.4,44.165,6.8223,693.62,0.0,1.0,0.0,0.016287,692.85
129.0,2.0,22419.0,26933.0,166.66,166.66,650.88,0.78749,19.157,698.79,0.0,1.0,0.0,-0.37121,695.52
131.0,2.0,20776.0,27532.0,139.12,139.12,1231.2,42.263,9.1277,703.62,0.0,1.0,0.0,1.2057,700.59
133.0,2.0,12356.0,28337.0,146.51,146.51,733.45,40.667,12.039,703.11,0.0,1.0,0.0,0.19694,701.31
134.0,2.0,18223.0,28966.0,135.58,135.58,885.08,37.495,13.133,695.44,0.0,1.0,0.0,0.25497,692.78
136.0,2.0,5569.0,30143.0,182.53,182.53,1000.9,40.71,12.5,692.34,0.0,1.0,0.0,-0.37972,691.53
138.0,2.0,45645.0,31013.0,164.91,164.91,905.58,32.933,11.677,704.44,0.0,1.0,0.0,0.70863,697.78
139.0,2.0,6431.5,31161.0,200.16,200.16,768.91,31.993,17.0,698.4,0.0,1.0,0.0,0.03983,697.47
140.0,2.0,42282.0,31519.0,122.22,122.22,202.06,33.656,21.792,702.67,0.0,1.0,0.0,0.73741,696.5
142.0,2.0,48956.0,32362.0,136.06,136.06,556.09,28.486,10.951,697.64,0.0,1.0,0.0,0.84715,690.5
143.0,2.0,5380.5,35593.0,129.87,129.87,621.36,31.906,11.167,692.9,0.0,1.0,0.0,0.60554,692.12
144.0,2.0,34646.0,35924.0,131.42,131.42,653.4,34.775,9.0447,701.38,0.0,1.0,0.0,0.80223,696.33
146.0,2.0,5363.8,37740.0,112.91,112.91,319.02,30.002,12.5,700.97,0.0,1.0,0.0,0.99117,700.18
147.0,2.0,19254.0,37818.0,125.86,125.86,380.18,34.393,15.748,694.31,0.0,1.0,0.0,0.04151,691.5
148.0,2.0,40712.0,38024.0,169.98,169.98,749.68,32.892,14.896,700.07,0.0,1.0,0.0,0.89659,694.13
149.0,2.0,8663.6,38922.0,152.5,152.5,1556.7,31.817,8.5704,697.94,0.0,1.0,0.0,0.22704,696.68
151.0,2.0,17636.0,40358.0,134.39,134.39,1436.1,36.268,6.1919,702.06,0.0,1.0,0.0,0.81439,699.49
153.0,2.0,8418.3,40850.0,299.37,299.37,1636.1,33.015,21.546,698.26,0.0,1.0,0.0,-1.1039,697.04
