"id","frame","x [nm]","y [nm]","sigmax [nm]","sigmay [nm]","intensity [photon]","offset [photon]","uncertainty [nm]","centroid [nm]","bgstd","z [nm]","z uncertainty","ydif","centroid2"
2.0,1.0,27906.0,8077.9,150.64,150.64,391.63,43.962,22.365,672.62,0.0,1.0,0.0,-0.93431,667.65
3.0,1.0,19860.0,10195.0,180.26,180.26,2687.8,57.66,7.4083,668.51,0.0,1.0,0.0,-0.92197,664.97
5.0,1.0,30950.0,12466.0,186.73,186.73,439.84,49.654,25.969,674.14,0.0,1.0,0.0,-0.50208,668.62
8.0,1.0,26145.0,13122.0,250.88,250.88,1096.7,46.109,24.638,667.59,0.0,1.0,0.0,-0.84263,662.93
9.0,1.0,37057.0,13183.0,173.4,173.4,562.45,51.386,15.059,671.71,0.0,1.0,0.0,-0.67687,665.1
18.0,1.0,34735.0,18784.0,192.2,192.2,533.26,54.818,25.953,667.37,0.0,1.0,0.0,0.67733,661.18
19.0,1.0,18560.0,19327.0,124.73,124.73,246.78,57.302,20.923,666.17,0.0,1.0,0.0,-0.64813,662.86
20.0,1.0,14387.0,19859.0,161.21,161.21,794.58,58.807,14.135,668.89,0.0,1.0,0.0,-0.56443,666.33
24.0,1.0,39284.0,23049.0,270.63,270.63,1400.5,60.953,22.636,673.4,0.0,1.0,0.0,0.0034561,666.4
26.0,1.0,27349.0,24352.0,140.88,140.88,1611.9,69.13,8.2788,674.06,0.0,1.0,0.0,-0.041778,669.18
29.0,1.0,29809.0,26975.0,108.51,108.51,357.37,53.647,13.816,670.18,0.0,1.0,0.0,-0.74251,664.87
33.0,1.0,40074.0,29644.0,167.6,167.6,839.95,63.892,14.011,670.96,0.0,1.0,0.0,0.54165,663.82
34.0,1.0,19528.0,29898.0,136.43,136.43,1096.0,66.314,9.3788,666.1,0.0,1.0,0.0,0.82001,662.62
36.0,1.0,29567.0,31085.0,134.29,134.29,471.86,65.673,14.201,672.84,0.0,1.0,0.0,-0.50322,667.57
43.0,1.0,21069.0,33820.0,143.96,143.96,847.31,57.13,10.868,672.59,0.0,1.0,0.0,0.84401,668.83
48.0,1.0,34953.0,36395.0,151.37,151.37,1814.2,74.915,7.5747,670.4,0.0,1.0,0.0,0.75487,664.17
49.0,1.0,13746.0,36447.0,150.42,150.42,1530.0,57.938,7.9925,666.54,0.0,1.0,0.0,0.52821,664.09
50.0,1.0,26229.0,36760.0,155.64,155.64,1618.6,77.052,8.0352,665.25,0.0,1.0,0.0,-0.41962,660.58
58.0,1.0,40094.0,44228.0,141.19,141.19,361.43,71.608,22.563,675.79,0.0,1.0,0.0,-0.10495,668.64
59.0,1.0,20481.0,44385.0,137.7,137.7,372.22,66.536,18.552,668.04,0.0,1.0,0.0,0.72591,664.39
63.0,1.0,36816.0,46699.0,149.11,149.11,2919.8,79.896,7.0246,676.28,0.0,1.0,0.0,1.218,669.71
64.0,1.0,32909.0,48368.0,125.49,125.49,1130.9,74.914,7.9987,672.27,0.0,1.0,0.0,1.6078,666.41
65.0,1.0,39363.0,48584.0,133.8,133.8,6022.0,81.741,6.962,670.54,0.0,1.0,0.0,0.93264,663.52
67.0,1.0,28709.0,49146.0,143.63,143.63,2432.0,76.066,7.73,669.29,0.0,1.0,0.0,0.81687,664.17
70.0,1.0,27560.0,53568.0,144.24,144.24,4771.0,63.322,6.5027,668.86,0.0,1.0,0.0,0.71534,663.95
72.0,1.0,22829.0,54309.0,146.77,146.77,3752.4,60.03,7.8454,667.66,0.0,1.0,0.0,1.049,663.59
76.0,1.0,28009.0,58012.0,153.33,153.33,2971.9,67.811,5.7587,667.29,0.0,1.0,0.0,0.81095,662.3
77.0,1.0,16709.0,59883.0,148.24,148.24,2396.3,46.852,6.8835,672.57,0.0,1.0,0.0,1.1467,669.59
79.0,1.0,30048.0,62174.0,131.05,131.05,620.08,56.405,11.085,672.18,0.0,1.0,0.0,1.9155,666.82
82.0,1.0,38428.0,63696.0,111.78,111.78,281.27,54.099,13.399,676.78,0.0,1.0,0.0,1.7508,669.93
84.0,1.0,33897.0,64249.0,163.08,163.08,3060.8,42.629,7.8453,672.7,0.0,1.0,0.0,1.55,666.65
87.0,1.0,35410.0,65123.0,151.76,151.76,857.01,0.14332,12.176,672.05,0.0,1.0,0.0,-0.3312,665.73
88.0,1.0,31818.0,66519.0,143.48,143.48,1490.7,7.6998,8.9603,672.07,0.0,1.0,0.0,2.2109,666.4
89.0,1.0,34123.0,67371.0,134.48,134.48,1398.1,61.522,7.9105,676.11,0.0,1.0,0.0,0.99597,670.03
90.0,1.0,24695.0,68357.0,143.19,143.19,1481.8,39.154,7.8207,669.7,0.0,1.0,0.0,1.6917,665.29
93.0,1.0,28978.0,70828.0,166.41,166.41,1035.9,44.21,11.941,670.99,0.0,1.0,0.0,0.83615,665.83
94.0,1.0,20250.0,71393.0,125.82,125.82,914.31,32.255,8.5925,672.49,0.0,1.0,0.0,1.8641,668.88
99.0,1.0,33074.0,73850.0,134.17,134.17,1340.2,41.589,7.6703,669.39,0.0,1.0,0.0,1.8686,663.5
100.0,2.0,30097.0,6740.3,118.04,118.04,357.33,37.245,11.846,667.83,0.0,1.0,0.0,-0.92659,662.46
103.0,2.0,19867.0,10188.0,156.78,156.78,2833.3,48.226,5.9126,668.06,0.0,1.0,0.0,-0.96577,664.52
108.0,2.0,26262.0,13087.0,234.74,234.74,811.94,49.217,23.917,672.52,0.0,1.0,0.0,-0.27184,667.83
113.0,2.0,34242.0,14870.0,158.72,158.72,402.56,51.581,25.084,670.5,0.0,1.0,0.0,-0.70868,664.4
116.0,2.0,36410.0,15824.0,97.312,97.312,301.3,49.234,14.117,667.05,0.0,1.0,0.0,-0.25174,660.56
121.0,2.0,26774.0,20061.0,130.16,130.16,516.32,57.996,12.189,667.68,0.0,1.0,0.0,0.10226,662.91
124.0,2.0,14801.0,23126.0,145.83,145.83,1219.8,59.587,10.803,665.26,0.0,1.0,0.0,0.060728,662.62
125.0,2.0,37664.0,23231.0,135.61,135.61,298.89,57.479,22.039,668.06,0.0,1.0,0.0,-0.1168,661.35
128.0,2.0,27325.0,24336.0,148.82,148.82,1305.7,62.829,10.142,672.48,0.0,1.0,0.0,0.2024,667.61
133.0,2.0,29806.0,26970.0,138.11,138.11,651.85,62.461,11.992,666.51,0.0,1.0,0.0,-0.40251,661.2
135.0,2.0,27595.0,27849.0,150.64,150.64,1137.4,67.182,11.114,670.57,0.0,1.0,0.0,1.1722,665.65
136.0,2.0,34141.0,28488.0,145.58,145.58,1153.7,71.922,9.9621,673.92,0.0,1.0,0.0,0.70532,667.83
137.0,2.0,32103.0,28861.0,161.97,161.97,1040.0,58.82,11.402,674.16,0.0,1.0,0.0,1.2325,668.43
139.0,2.0,40070.0,29620.0,144.99,144.99,919.99,62.954,11.412,673.56,0.0,1.0,0.0,0.73884,666.42
142.0,2.0,29529.0,31146.0,161.78,161.78,1993.7,72.155,7.0528,675.06,0.0,1.0,0.0,0.18836,669.8
144.0,2.0,11457.0,31945.0,150.24,150.24,1409.4,56.606,8.628,671.6,0.0,1.0,0.0,0.34824,669.56
146.0,2.0,37008.0,33754.0,164.84,164.84,855.41,73.105,11.7,672.5,0.0,1.0,0.0,0.8056,665.9
147.0,2.0,43260.0,33968.0,94.998,94.998,163.14,62.413,22.037,669.81,0.0,1.0,0.0,-0.034003,662.09
151.0,2.0,26220.0,36766.0,148.93,148.93,1874.0,73.801,6.8166,666.16,0.0,1.0,0.0,-0.21632,661.49
154.0,2.0,16818.0,40552.0,139.49,139.49,2390.2,69.319,7.368,665.24,0.0,1.0,0.0,0.34822,662.24
158.0,2.0,20058.0,42698.0,126.77,126.77,207.66,66.185,26.649,668.0,0.0,1.0,0.0,1.0584,664.42
162.0,2.0,32917.0,48354.0,132.65,132.65,1785.9,75.643,8.3348,671.7,0.0,1.0,0.0,1.7054,665.83
163.0,2.0,39367.0,48587.0,138.39,138.39,3832.3,77.835,6.9813,668.07,0.0,1.0,0.0,0.85989,661.05
165.0,2.0,37993.0,50833.0,164.67,164.67,1493.4,77.788,8.7134,673.32,0.0,1.0,0.0,1.7546,666.55
169.0,2.0,16986.0,52503.0,133.98,133.98,710.12,55.005,10.955,665.49,0.0,1.0,0.0,-0.03768,662.46
170.0,2.0,27555.0,53572.0,152.84,152.84,3817.9,64.882,6.8732,667.23,0.0,1.0,0.0,0.78968,662.32
174.0,2.0,27992.0,57996.0,156.73,156.73,1599.3,66.18,8.2472,669.35,0.0,1.0,0.0,0.4047,664.36
177.0,2.0,29656.0,62269.0,134.71,134.71,1596.0,55.164,9.2021,675.11,0.0,1.0,0.0,1.0908,669.82
179.0,2.0,17377.0,63143.0,159.32,159.32,1569.3,46.858,8.3571,670.7,0.0,1.0,0.0,0.21769,667.6
180.0,2.0,27261.0,63176.0,204.66,204.66,614.95,47.317,23.169,673.77,0.0,1.0,0.0,0.87122,668.91
181.0,2.0,33907.0,64265.0,143.18,143.18,1117.1,50.297,8.7126,672.1,0.0,1.0,0.0,1.3093,666.05
184.0,2.0,31810.0,66507.0,141.01,141.01,2025.2,47.194,7.6028,671.46,0.0,1.0,0.0,2.3058,665.79
185.0,2.0,34153.0,67344.0,157.25,157.25,1131.7,35.859,10.205,667.04,0.0,1.0,0.0,1.3887,660.95
186.0,2.0,24701.0,68364.0,126.09,126.09,1568.5,52.961,9.1309,666.27,0.0,1.0,0.0,1.5627,661.86
190.0,2.0,28953.0,70836.0,145.35,145.35,1338.1,47.612,8.0522,671.9,0.0,1.0,0.0,1.1736,666.73
