"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty [nm]"
1.0,1.0,1032.2980869050132,2965.5825572068197,248.60004990575945,1328.2201245037888,68.03847876255375,14.226118000960152,30.941803620268086
2.0,1.0,1283.148927423877,22401.934396438966,173.86969342543986,1456.4398883875747,92.21826532259816,15.155593387110919,15.066377100135082
3.0,1.0,1510.97742972853,38134.47307923869,369.9685337393047,5397.956894554698,29.529815671975253,14.191038067518328,17.161034839705252
4.0,1.0,2225.6698723673476,40150.23114871688,221.19710133022448,1305.1190947069276,59.11638903882587,9.934270728638984,18.065504449566756
5.0,1.0,2720.558182210847,14431.927320246514,145.45774552517074,455.0355728201379,86.18609323764764,12.734880612261922,27.874677075088496
6.0,1.0,3531.935822691924,36720.758657152626,107.6837419846654,234.9164242250838,76.51677335071008,9.136538226774835,21.8201630343006
7.0,1.0,3660.1541052843777,27651.501063730633,156.4110873469053,671.3611188564848,82.40133133414744,10.79352543926096,18.95422933864883
8.0,1.0,4913.988404104017,34784.58897498327,144.06969335486554,640.286483803066,71.90732442987054,11.882286810441448,18.497728756072167
9.0,1.0,5275.273337031709,32194.265766676195,154.82750452249718,929.0535985040611,82.87866932752135,11.953663835951449,14.982610082284081
10.0,1.0,8735.160513696565,14125.724628226832,200.03123005986535,2405.769038894612,102.49080794063235,17.171635093683978,13.65538899184805
11.0,1.0,9567.92985674175,6319.721267785925,136.6062504691464,400.0658833555533,99.68374241995791,9.311602392894583,21.00043741559126
12.0,1.0,10201.368450217562,22634.42241252494,160.6531209338531,660.0534158343725,94.63923544020702,9.840766653566833,18.65948092840707
13.0,1.0,11375.14810801999,30864.561905753795,144.4102229342039,1636.9120587132184,92.71997942843154,13.010752099218404,8.39196289237514
14.0,1.0,11482.989674877992,44297.20003050589,105.36483070794978,411.57165105868245,72.86958635479252,12.521253651659059,16.320720348433554
15.0,1.0,12326.458895998361,8658.517959340872,201.10067690323143,937.9456879456473,97.65104344451288,15.035268402601435,30.283897804277128
16.0,1.0,13226.276643969797,30406.209381956596,125.409510212091,633.6681389885387,103.4151639166171,11.56501948104305,14.055201293603766
17.0,1.0,14653.28289415644,30849.227545405676,137.1853806253149,1475.130887689099,100.82817936412707,16.520613486552893,10.281786821659917
18.0,1.0,15122.813273690579,34041.792196741604,119.59436548797271,262.3558240973978,86.277396739395,12.465308671813084,31.899664726295907
19.0,1.0,16223.878157853624,42078.64391994313,134.16184220101147,856.397618230457,74.65234221784911,9.71798815709637,10.432916420098293
20.0,1.0,18411.6260060578,1209.6348028716793,117.19632607729645,258.5151495164683,99.88576048651656,11.918523597618002,29.831403030670813
21.0,1.0,19452.037049798168,41308.33426017914,165.51222392704244,1223.6481063682504,76.4117596454521,14.136851346133728,15.207272307130982
22.0,1.0,22682.0247303221,7203.811565636638,342.95106438869107,5123.3531252677885,84.22062035280963,16.382827249740703,17.803197440626143
23.0,1.0,24369.058807298075,37953.211366648655,140.41514379919667,1757.8165022647675,85.82142876379683,13.515205125528304,7.715045417369778
24.0,1.0,26507.23847325576,42014.66136515823,206.47719303027858,947.0132360724759,69.84778262735115,10.900624351991834,23.372445416108473
25.0,1.0,26577.79403406615,1968.6903812266369,188.68078340142665,531.8519183331305,100.92362324000683,13.024840087443067,40.591103817324274
26.0,1.0,28763.764656676904,11444.923396909087,304.79840692527495,2458.47555579305,88.06684133245952,12.584439192064469,22.53710184520268
27.0,1.0,31598.119021779046,5694.302440085171,230.09428215428332,1973.1139771352919,96.13961406200261,12.335093160145227,15.965078431975359
28.0,1.0,33100.26206074087,914.4276171534266,149.8922617344077,510.5848927878376,100.59461143656837,11.339757494439773,23.730995642777962
29.0,1.0,33778.20520041196,4291.142124838519,159.30763844892184,841.276665664426,119.6904787871529,18.00866782982124,25.385080121295918
30.0,1.0,35098.323976192114,41838.825121539194,159.28452115418094,1276.146788520618,83.0831258854457,14.205328319605162,13.650783289923075
31.0,1.0,36185.07990144598,10648.099692800577,196.472220496399,2397.6398699007864,111.91326765333663,16.961912075939622,13.092612116714047
32.0,1.0,37401.88964151054,4472.473413216887,219.35371975095293,1304.554326153658,101.15657683938534,11.800156030555891,20.76300915478561
33.0,1.0,37714.804063018884,12862.195215618964,138.20516423105357,362.5225007712271,109.54420245821699,13.504131768710693,33.27136091210616
34.0,1.0,40808.19703520363,40908.46335548646,203.84940802009217,894.1326446063001,69.42549749673451,12.07152737873146,26.483092601109096
35.0,1.0,41873.28950690607,33974.72313183106,201.87622709531345,1065.1679203938793,74.12759721957599,10.96121509239292,20.11292649333191
36.0,1.0,42255.48106122073,18750.54006162301,271.86473023075195,2412.0259751217354,84.85659017206686,13.884362164619652,20.17501180088311
37.0,1.0,42979.20516560883,8032.931042143716,182.37662506112895,1174.6397700803147,110.95233671603441,14.029427216340846,18.893624232240576
38.0,1.0,43142.7505219509,10000.085946147283,264.1278154261839,2702.1994417840506,87.64721300299739,16.559443064552802,20.14514154479062
39.0,2.0,1288.7584547414515,22406.429471577987,161.55422123634284,1419.661225316151,88.86734446774267,15.406218820041957,13.628048254837351
40.0,2.0,1443.3975884877777,38188.852681649674,239.30974836948795,1279.5037073846775,68.96719744529778,12.068874309202426,25.52743651027757
41.0,2.0,2228.4303359365513,40151.606946720414,167.26458138311395,811.6629800715916,67.16738941414343,10.094307308121637,16.946190754569752
42.0,2.0,2725.7712811405936,14419.343362190019,156.85078012665073,576.0712501634174,87.74957718049679,13.688952400825022,27.465327444941735
43.0,2.0,3642.556583223235,19884.95279390064,173.7907041813453,630.8244140928024,88.02247332060395,10.432792204102608,23.827167750544245
44.0,2.0,3726.097909178645,27652.73392833696,96.12742218682781,258.7811073488357,86.52017871648852,11.51312909711099,19.764898249307365
45.0,2.0,3953.5762983751174,25227.396214003125,133.9713707981375,336.72314779588055,92.80592298993346,9.470785224390594,24.199791889846804
46.0,2.0,4881.884901446665,9858.399221206162,166.36641391316655,467.13469526686174,88.35877476972938,14.357097960777836,39.55292162538957
47.0,2.0,4921.458320026111,34796.808366390105,102.26433279011347,283.0410059826222,75.50532287390027,9.205961947569843,16.758034491707065
48.0,2.0,5254.507131937559,32254.010941017703,139.3707737234477,524.7870578812516,81.88831269826701,10.909637696985172,19.432441108241232
49.0,2.0,6077.197816803266,39381.187951144035,137.71546166403328,340.0551911751746,68.13802702379535,8.2156967935172,22.244692206097117
50.0,2.0,8732.591492072135,14124.598919498989,202.09235753791762,2805.914573297835,103.65481495981086,17.69989795540131,12.36031836653347
51.0,2.0,10187.811542039024,22633.91606707625,146.4366556276323,599.791658437855,97.7148634911865,15.48159878864874,25.957004425947396
52.0,2.0,11358.378904311485,30865.842841162066,133.60081373443168,1517.9613039190397,100.00382180581806,14.047650542430997,8.312400926096988
53.0,2.0,11450.461635038131,44275.485380046426,155.79034308966087,560.287782111471,70.37120543729606,9.780548266208585,20.443979442165997
54.0,2.0,11952.072373664567,32626.154049402936,158.37387301929678,863.3916813871776,88.61965082352037,11.452941903110299,16.129314391301833
55.0,2.0,12297.923952085503,8642.096380496232,189.78102120785448,2599.1971912228164,112.81517360605397,17.67797500266644,11.784877523939379
56.0,2.0,12931.729394616448,34867.57859029299,144.66267927648553,594.3440017441125,85.23655095779566,11.174494044383694,18.933202117663782
57.0,2.0,13234.237935390192,30414.74132698997,141.32037487145732,876.0998787802462,95.70041792109434,13.345929458024834,14.703596916477993
58.0,2.0,13687.96297969017,2228.313041942841,409.93281375068716,5968.906443303593,64.11931912691618,12.769564510382228,17.22716058191747
59.0,2.0,14665.82659850774,30837.764886259163,172.62071894515336,1669.230119610279,87.62016338451102,11.373609308680585,10.201879538796447
60.0,2.0,15168.48850834912,34048.88186870492,131.1091820783444,730.9716391914228,86.78847098899678,12.329524818812938,14.124778099005423
61.0,2.0,16211.839827076545,42147.550428288625,139.6248559007862,497.1922959185133,80.21171958660534,10.71738457376529,20.20006508651591
62.0,2.0,20159.86750079411,38933.24067823879,95.74742289324476,209.57419373942554,78.37899081526331,8.477784723877873,18.281598272301512
63.0,2.0,22734.409828938053,7229.635251022965,162.74499512942361,875.2506388255738,127.55449146709066,17.78778905993025,25.164053090780914
64.0,2.0,24014.0620469283,15860.311844999387,616.2213039423098,26498.88298363205,2.141547807978606,12.337876265351507,8.904790333936413
65.0,2.0,24391.920283139774,37956.13016115288,124.40263324912951,1288.5027836968022,96.43923138708138,17.83913408511299,10.399507628762521
66.0,2.0,25846.755890627537,10607.612338650142,162.23361552591362,447.9548940329743,109.20104378830402,12.650685527140727,34.76451736568751
67.0,2.0,26576.172564290584,1955.2583215010268,154.9260887612113,466.3882187880072,100.67404472435393,11.898742026708183,28.852837895591424
68.0,2.0,26650.2706340264,10078.904815926986,182.95308650996012,659.0584672106189,102.35294508638714,14.455889302675821,34.23298794511404
69.0,2.0,27281.66777994145,44883.73739636558,225.57444661250705,1180.0422233706322,61.79667715523591,9.581260744437179,19.962817491565456
70.0,2.0,29465.900614075264,15125.863806804631,128.86591250341843,326.16669913888455,104.93127290251047,9.817451467658946,23.936473297626904
71.0,2.0,31649.658024369306,5651.237014205899,270.72398883693154,3594.970761316603,89.86724810224135,17.474117163356425,16.86052500494396
72.0,2.0,32204.887101049553,5828.230352725686,278.29680157081776,2259.580519828813,95.37775314448992,15.912466814194119,25.546150630637083
73.0,2.0,33089.81934125776,919.40368136796,267.30323364313983,2041.9332266385295,83.63584925926575,13.454159753594276,22.267683739561377
74.0,2.0,33132.81310564415,22160.45369335422,119.67214148676402,344.8827252733304,116.69449536655358,14.22442935992041,27.73339755874071
75.0,2.0,33619.798310808124,32425.57601786473,156.00902251692347,609.4832129103903,85.40188269175245,12.646819530750374,23.90322576125057
76.0,2.0,34628.74493788862,22595.475744436317,177.4734515835447,929.069503273807,96.8443251376039,14.46909419546543,23.124912676908476
77.0,2.0,35082.73466403991,16993.237326629343,220.62851338225047,4619.884981075043,105.77977732719093,23.518795559710753,11.760155262315717
78.0,2.0,35096.964201536095,41838.78639566541,165.6786150430215,1724.9560293343202,87.45816765166614,15.108054038483683,11.685587379105062
79.0,2.0,36192.46655783035,10665.659007630007,177.84661633830208,1308.4274531480542,113.56701700771617,15.243980224909905,17.521404894098833
80.0,2.0,37766.59884230242,446.18728883224026,209.41194888357788,813.9592638162597,93.26300021205475,14.956593759959325,37.46773281183827
81.0,2.0,37746.514563946075,12815.507276764713,96.92730160329067,267.3713603644711,110.64444365867917,11.916235118314834,20.07648367314631
82.0,2.0,39371.90890908552,22685.75337367544,85.48489053591855,244.3403443503749,111.4941799158187,14.73468127087056,20.914205563061845
83.0,2.0,40727.65896348072,40936.24614749662,130.07182068669042,367.55138979819196,73.4920859886143,10.614590957365124,23.337366065028412
84.0,2.0,41868.04435908669,33960.436752446374,143.07984795680127,589.4857397187869,76.11009740734112,11.221974294052602,18.759276727293805
85.0,2.0,42202.65885203148,18815.58748206162,337.7541139115365,4742.102042352394,62.50639965755167,13.511167549162067,15.610943930891422
86.0,2.0,42537.72067486017,37624.3119400268,202.4767801408525,865.2779761366708,67.47142748489371,11.097842240653932,24.956401767971137
87.0,2.0,42954.71731204454,8093.481480043059,181.89832405598708,1290.349020273053,107.20158407049406,15.233949761779915,18.530122445283915
88.0,2.0,43183.22406492883,9970.343775873616,126.03197280409675,403.10174670486526,110.57586455982343,16.599425499007772,30.505131639431532
89.0,3.0,1061.000554631966,2984.1734868964827,158.0782290997309,500.1988178579512,77.85711468811667,12.603788052637256,29.58827231198926
90.0,3.0,1278.5151125432049,22398.16898878906,151.56460144263977,1235.533146725576,96.5876215998797,13.11946107172289,11.95803588505209
91.0,3.0,1390.7456723913876,17066.246606823126,172.952938936832,1746.922364326742,93.79787948769453,14.464264871953148,12.046274567314018
92.0,3.0,1337.3897846337923,38173.145472235796,102.51468816305157,265.3995525441373,80.15079934533479,10.741600641334701,20.473877138576494
93.0,3.0,2251.650330254478,40187.496797569846,211.0131133266769,1736.393202413222,60.121176780575595,11.697942679079416,14.59884637647026
94.0,3.0,2738.414038003052,14441.44516433573,162.74143037403502,643.8562454426444,83.5586871481645,12.649491029934552,24.5980040656946
95.0,3.0,3513.218887398876,36748.86580200939,159.02890492687519,479.5222358590556,68.68931818489577,8.611605951727807,21.984141329119655
96.0,3.0,3538.6592384246696,19841.896717839583,421.41555491682556,6364.792162586891,59.80886320636017,12.497367572141702,16.751745882797067
97.0,3.0,3694.7326024960394,27617.711163272525,125.11370765801757,295.47847146838564,84.6057427055989,11.989654376579525,29.90607111964937
98.0,3.0,3983.61684177343,25231.602992253123,563.90715368196,17847.005011215002,6.345539676085291,12.389184866483422,10.912740912558863
