config_name,alpha,phi,n_domains
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-137.txt.gz,1.1,0.08,80.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-138.txt.gz,1.1,0.08,66.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-139.txt.gz,1.1,0.08,50.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-14.txt.gz,1.1,0.08,50.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-140.txt.gz,1.1,0.08,62.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-141.txt.gz,1.1,0.08,51.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-142.txt.gz,1.1,0.08,52.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-143.txt.gz,1.1,0.08,56.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-144.txt.gz,1.1,0.08,59.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-145.txt.gz,1.1,0.08,59.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-146.txt.gz,1.1,0.08,43.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-147.txt.gz,1.1,0.08,50.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-148.txt.gz,1.1,0.08,50.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-149.txt.gz,1.1,0.08,42.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-15.txt.gz,1.1,0.08,65.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-150.txt.gz,1.1,0.08,68.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-151.txt.gz,1.1,0.08,64.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-152.txt.gz,1.1,0.08,48.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-153.txt.gz,1.1,0.08,56.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-154.txt.gz,1.1,0.08,49.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-155.txt.gz,1.1,0.08,64.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-156.txt.gz,1.1,0.08,55.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-157.txt.gz,1.1,0.08,43.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-158.txt.gz,1.1,0.08,47.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-159.txt.gz,1.1,0.08,54.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-16.txt.gz,1.1,0.08,60.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-160.txt.gz,1.1,0.08,61.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-161.txt.gz,1.1,0.08,42.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-162.txt.gz,1.1,0.08,52.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-163.txt.gz,1.1,0.08,59.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-164.txt.gz,1.1,0.08,56.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-165.txt.gz,1.1,0.08,50.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-166.txt.gz,1.1,0.08,62.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-167.txt.gz,1.1,0.08,44.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-168.txt.gz,1.1,0.08,47.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-169.txt.gz,1.1,0.08,58.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-17.txt.gz,1.1,0.08,48.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-170.txt.gz,1.1,0.08,41.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-171.txt.gz,1.1,0.08,59.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-172.txt.gz,1.1,0.08,62.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-173.txt.gz,1.1,0.08,50.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-174.txt.gz,1.1,0.08,73.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-175.txt.gz,1.1,0.08,49.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-176.txt.gz,1.1,0.08,45.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-177.txt.gz,1.1,0.08,52.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-178.txt.gz,1.1,0.08,75.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-179.txt.gz,1.1,0.08,54.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-18.txt.gz,1.1,0.08,55.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-180.txt.gz,1.1,0.08,53.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-181.txt.gz,1.1,0.08,54.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-182.txt.gz,1.1,0.08,51.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-183.txt.gz,1.1,0.08,46.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-184.txt.gz,1.1,0.08,48.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-185.txt.gz,1.1,0.08,56.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-186.txt.gz,1.1,0.08,53.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-187.txt.gz,1.1,0.08,59.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.1-bmax=20-r=0.49-ru=10/config-188.txt.gz,1.1,0.08,54.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-1.txt.gz,1.2,0.08,70.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-10.txt.gz,1.2,0.08,66.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-100.txt.gz,1.2,0.08,72.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-1000.txt.gz,1.2,0.08,70.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-101.txt.gz,1.2,0.08,81.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-102.txt.gz,1.2,0.08,56.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-103.txt.gz,1.2,0.08,68.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-104.txt.gz,1.2,0.08,62.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-105.txt.gz,1.2,0.08,66.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-106.txt.gz,1.2,0.08,58.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-107.txt.gz,1.2,0.08,53.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-108.txt.gz,1.2,0.08,65.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-109.txt.gz,1.2,0.08,47.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-11.txt.gz,1.2,0.08,50.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-110.txt.gz,1.2,0.08,55.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-111.txt.gz,1.2,0.08,71.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-112.txt.gz,1.2,0.08,72.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-113.txt.gz,1.2,0.08,75.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-114.txt.gz,1.2,0.08,66.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-115.txt.gz,1.2,0.08,56.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-116.txt.gz,1.2,0.08,52.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-117.txt.gz,1.2,0.08,55.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-118.txt.gz,1.2,0.08,62.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-119.txt.gz,1.2,0.08,81.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-12.txt.gz,1.2,0.08,78.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-120.txt.gz,1.2,0.08,66.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-121.txt.gz,1.2,0.08,74.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-122.txt.gz,1.2,0.08,68.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-123.txt.gz,1.2,0.08,58.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-124.txt.gz,1.2,0.08,52.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-125.txt.gz,1.2,0.08,78.0
SRRW-MARCELO-L=130-N=186741-phi=0.08-alpha=1.2-bmax=20-r=0.49-ru=10/config-126.txt.gz,1.2,0.08,58.0
