"id","frame","x [nm]","y [nm]","sigmax [nm]","sigmay [nm]","intensity [photon]","offset [photon]","uncertainty [nm]","centroid [nm]","bgstd","z [nm]","z uncertainty","ydif","centroid2","fwhm0","fwhm1"
302.0,26.0,12473.60816697332,13465.516453051398,318.05,318.05,10791.0,606.53,19.503,696.65,0.0,81.0,177.7,-1.4561,698.97,429.5,516.47
335.0,29.0,10222.614851650682,13106.501968343555,466.31,466.31,31707.0,781.3,14.542,696.3,0.0,-128.0,132.8,0.3567,698.2,606.61,505.47
374.0,33.0,12685.623764553828,12273.482655399766,210.3,210.3,5758.5,525.9,15.264,700.21,0.0,201.0,138.85,-0.0074841,702.57,377.41,551.3
376.0,33.0,7456.223764553829,13165.482655399766,317.97,317.97,7137.5,622.0,24.402,697.34,0.0,81.0,222.37,0.28079,698.73,397.22,477.05
383.0,34.0,4330.9259927796165,10654.47782716382,357.23,357.23,18428.0,748.75,13.622,693.35,0.0,-218.0,124.56,-0.10642,694.15,481.72,351.07
386.0,34.0,8668.325992779615,12055.47782716382,312.4,312.4,4931.1,697.35,31.728,696.83,0.0,-8.0,289.3,-0.36736,698.44,488.89,500.93
401.0,35.0,12335.628221005403,14119.472998927873,637.29,637.29,71905.0,625.38,9.0891,699.04,0.0,-90.0,83.017,0.23732,701.34,478.94,424.67
416.0,37.0,7655.632677456979,7616.463342455981,380.5,380.5,11957.0,660.37,23.278,698.12,0.0,-307.0,212.74,0.68252,699.54,611.3,401.89
438.0,39.0,10657.637133908553,10045.453685984086,518.28,518.28,36583.0,799.33,15.219,693.53,0.0,-341.0,139.31,1.6328,695.51,1129.7,720.18
440.0,39.0,4346.037133908551,10525.453685984086,386.98,386.98,15458.0,675.8,22.155,694.88,0.0,-50.0,202.09,-0.16992,695.69,1080.0,1026.7
448.0,40.0,6413.039362134338,7372.248857748139,407.7,407.7,12474.0,642.97,18.078,702.18,0.0,235.0,164.46,2.9912,703.37,613.63,940.93
457.0,40.0,6608.039362134338,13250.448857748139,400.92,400.92,11814.0,707.18,28.266,701.72,0.0,-372.0,258.32,-2.2791,702.95,693.29,431.56
493.0,43.0,11342.6460468117,10829.434373040298,310.61,310.61,7742.8,692.55,21.569,697.89,0.0,165.0,196.4,1.15,700.0,428.27,592.1
508.0,44.0,11276.648275037487,10849.429544804352,403.91,403.91,13525.0,557.57,25.174,696.11,0.0,267.0,229.11,-0.21473,698.21,463.97,741.72
523.0,45.0,4413.5505032632755,11784.424716568405,240.53,240.53,7885.2,287.67,13.071,694.16,0.0,605.0,118.22,-1.8838,694.99,505.24,1020.2
542.0,46.0,11697.652731489063,15009.419888332459,154.16,154.16,2848.0,652.65,18.798,698.66,0.0,-57.0,171.49,0.53679,700.84,492.41,462.34
544.0,47.0,4136.754959714851,9073.71506009651,442.1,442.1,13706.0,618.46,24.3,698.03,0.0,-304.0,222.05,0.90612,698.8,679.45,448.14
548.0,47.0,8583.05495971485,11992.415060096511,154.52,154.52,2047.1,692.55,21.188,696.52,0.0,103.0,193.02,0.56893,698.12,309.97,387.28
552.0,48.0,7651.357187940637,7598.1102318605635,354.03,354.03,8655.5,699.11,25.186,693.04,0.0,-63.0,229.74,0.19138,694.47,494.87,460.15
581.0,50.0,9802.961644392211,15119.400575388669,188.47,188.47,3387.1,700.72,18.469,702.27,0.0,66.0,168.3,0.72858,704.09,632.08,739.53
595.0,51.0,11381.663872618,14959.395747152725,378.06,378.06,16764.0,458.44,16.753,697.86,0.0,134.0,152.54,-1.3413,699.98,532.01,700.26
608.0,53.0,10902.668329069575,11208.38609068083,432.92,432.92,11574.0,788.28,27.934,697.09,0.0,-219.0,255.05,-0.89406,699.12,630.67,459.22
628.0,54.0,11367.670557295363,14942.381262444882,274.67,274.67,4931.8,708.55,25.496,696.05,0.0,264.0,232.05,-0.55004,698.16,536.94,854.74
639.0,55.0,10369.672785521148,15637.376434208934,706.95,706.95,57903.0,661.06,16.993,693.11,0.0,69.0,154.83,0.96338,695.04,2877.8,3388.7
666.0,57.0,10463.677241972724,15032.366777737041,293.83,293.83,7873.8,829.99,20.358,694.18,0.0,-49.0,185.7,0.29267,696.13,544.33,518.14
672.0,58.0,9395.379470198512,7986.961949501096,274.63,274.63,4273.7,725.93,29.252,696.46,0.0,-120.0,266.91,-0.90064,698.21,571.04,481.73
677.0,58.0,10375.67947019851,13241.361949501093,434.25,434.25,27358.0,721.66,14.726,693.33,0.0,102.0,134.11,0.16626,695.26,414.04,515.64
689.0,60.0,4229.583926650084,9293.5522930292,245.83,245.83,3267.0,33.057,37.154,697.3,0.0,-0.0,338.77,-2.0619,698.09,658.1,684.44
693.0,60.0,8627.183926650085,11967.3522930292,372.05,372.05,11684.0,560.98,20.899,694.43,0.0,-242.0,190.94,0.93908,696.04,602.41,425.94
696.0,60.0,10383.683926650085,13285.3522930292,394.0,394.0,20900.0,749.5,14.83,694.49,0.0,170.0,134.95,-1.6106,696.43,433.26,603.63
699.0,60.0,10219.683926650085,15123.3522930292,188.2,188.2,1914.0,336.24,33.467,700.42,0.0,-69.0,305.26,0.55615,702.32,502.4,462.24
714.0,62.0,5167.888383101659,11168.342636557307,1538.5,1538.5,939580.0,696.05,4.4631,695.74,0.0,28.0,40.65,-1.7354,696.7,579.43,633.46
725.0,63.0,11958.690611327445,18276.33780832136,1153.7,1153.7,576840.0,522.72,4.6314,698.91,0.0,-192.0,42.535,-0.45914,701.14,784.12,592.04
726.0,64.0,5722.592839553233,6940.8329800854135,634.99,634.99,64578.0,596.97,12.8,696.62,0.0,-306.0,117.2,-1.5429,697.69,846.84,557.64
736.0,65.0,8500.195067779021,9574.228151849466,181.75,181.75,3326.9,714.44,17.272,698.45,0.0,276.0,157.04,0.11202,700.04,594.39,960.58
740.0,65.0,9187.09506777902,16609.328151849466,389.36,389.36,24603.0,751.61,15.23,700.02,0.0,-224.0,139.22,-1.9191,701.73,659.5,476.58
748.0,66.0,5097.097296004808,14945.32332361352,353.84,353.84,7866.6,349.94,25.033,694.08,0.0,-82.0,228.38,-0.12292,695.03,770.3,692.62
753.0,67.0,4902.699524230596,14922.318495377573,327.77,327.77,8665.0,672.61,23.973,693.96,0.0,546.0,217.71,-1.4873,694.88,612.69,1216.3
755.0,67.0,11451.699524230595,15308.318495377573,390.56,390.56,13849.0,668.64,20.89,701.2,0.0,184.0,190.18,-2.1666,703.33,490.65,698.58
762.0,68.0,9324.101752456381,12035.313667141625,593.12,593.12,35158.0,299.47,16.199,701.57,0.0,-15.0,147.72,0.72799,703.3,554.42,561.14
